lower_bound,upper_bound,correction
1,	106.3363,	9.0878
106.3364,	141.2302,	-31.3178
141.2303,	152.887,	-30.0137
152.8871,	154.656,	-8.8299
154.6561,	155.5853,	-29.9419
155.5854,	156.0083,	-32.0549
156.0084,	156.3296,	-43.0690
156.3297,	156.3904,	-21.3506
156.3905,	156.442,	-20.7374
156.4421,	156.4645,	0.9813
156.4646,	156.6038,	-29.7591
156.6039,	156.6096,	14.2970
156.6097,	156.6874,	-38.0933
156.6875,	156.7251,	-40.0224
156.7252,	156.8878,	74.0097
156.8879,	156.9122,	17.2631
156.9123,	156.9311,	-40.1011
156.9312,	156.9634,	-5.7105
156.9635,	156.9695,	-28.0115
156.9696,	157.0032,	-13.3776
157.0033,	157.067,	73.8112
157.0671,	157.0772,	-31.8807
157.0773,	157.095,	173.0831
157.0951,	157.0983,	32.4012
157.0984,	157.1784,	101.0454
157.1785,	157.1936,	-42.1096
157.1937,	157.1952,	13.8711
157.1953,	157.2061,	-13.4894
157.2062,	157.2136,	171.6050
157.2137,	157.2437,	-17.3258
157.2438,	157.2551,	-0.7981
157.2552,	157.3489,	-30.0917
157.349,	157.4226,	51.1854
157.4227,	157.4286,	-42.1960
157.4287,	157.4986,	-8.5706
157.4987,	157.5168,	-31.4359
157.5169,	157.57,	28.8316
157.5701,	157.634,	-47.3464
157.6341,	157.6929,	-42.2929
157.693,	157.7369,	62.2955
157.737,	157.7595,	23.6059
157.7596,	157.7658,	-22.0363
157.7659,	157.8572,	0.0904
157.8573,	157.8982,	-40.4680
157.8983,	157.9238,	-32.8790
157.9239,	157.9511,	-30.3582
157.9512,	157.9712,	-24.6698
157.9713,	158.0719,	-18.3916
158.072,	158.1785,	-22.8720
158.1786,	158.237,	-36.8036
158.2371,	158.25,	-36.1769
158.2501,	158.3209,	-42.5218
158.321,	158.3758,	-35.5962
158.3759,	158.411,	9.8408
158.4111,	158.4121,	126.6242
158.4122,	158.4128,	19.9398
158.4129,	158.4553,	-24.9000
158.4554,	158.4765,	-30.5891
158.4766,	158.4912,	-26.1788
158.4913,	158.5178,	-19.8828
158.5179,	158.5291,	51.3918
158.5292,	158.5373,	-7.2774
158.5374,	158.544,	40.0242
158.5441,	158.5724,	40.6298
158.5725,	158.5818,	-36.3105
158.5819,	158.5877,	-33.7906
158.5878,	158.6223,	-37.5876
158.6224,	158.632,	23.5564
158.6321,	158.65,	-24.3618
158.6501,	158.6603,	1.4747
158.6604,	158.6657,	-39.4954
158.6658,	158.6789,	106.0766
158.679,	158.7045,	-38.2500
158.7046,	158.7192,	23.4885
158.7193,	158.7345,	3.3172
158.7346,	158.7414,	-33.2247
158.7415,	158.7711,	-30.7179
158.7712,	158.7756,	-27.5708
158.7757,	158.7976,	-46.4727
158.7977,	158.8178,	36.6346
158.8179,	158.8445,	137.3390
158.8446,	158.8949,	-18.1849
158.895,	158.897,	-27.6261
158.8971,	158.9148,	-41.4781
158.9149,	158.9271,	-38.9657
158.9272,	158.928,	22.0679
158.9281,	158.9736,	-18.8545
158.9737,	158.9876,	-37.1020
158.9877,	159.0036,	52.8267
159.0037,	159.0643,	9.3897
159.0644,	159.084,	-13.8820
159.0841,	159.2663,	-37.2121
159.2664,	159.2885,	-17.7593
159.2886,	159.3111,	-47.2730
159.3112,	159.3236,	-39.1176
159.3237,	159.3471,	-6.4934
159.3472,	159.3615,	6.6757
159.3616,	159.3678,	47.4576
159.3679,	159.4726,	-30.3956
159.4727,	159.4854,	7.8469
159.4855,	159.5053,	-15.3633
159.5054,	159.5142,	-0.3224
159.5143,	159.5202,	-34.8045
159.5203,	159.5541,	54.1797
159.5542,	159.5905,	12.1621
159.5906,	159.6082,	-34.2139
159.6083,	159.7645,	12.0399
159.7646,	159.7813,	-39.2920
159.7814,	159.7906,	7.0150
159.7907,	159.7935,	183.4909
159.7936,	159.8565,	25.1122
159.8566,	159.8732,	82.0193
159.8733,	159.8782,	11.9602
159.8783,	159.9366,	-39.3510
159.9367,	159.9458,	-33.7276
159.9459,	159.9492,	-24.9762
159.9493,	159.9876,	11.8837
159.9877,	160.003,	-31.8763
160.0031,	160.0212,	89.9748
160.0213,	160.0642,	-31.9023
160.0643,	160.0765,	-43.7769
160.0766,	160.0853,	38.0514
160.0854,	160.0861,	-23.1664
160.0862,	160.1115,	-11.3118
160.1116,	160.2129,	-36.3347
160.213,	160.2632,	77.8325
160.2633,	160.2634,	-30.7390
160.2635,	160.2696,	-19.5106
160.2697,	160.2867,	-33.2446
160.2868,	160.287,	295.5405
160.2871,	160.2914,	-10.1636
160.2915,	160.2954,	-26.3859
160.2955,	160.2968,	295.5163
160.2969,	160.3422,	-30.1494
160.3423,	160.3577,	135.7230
160.3578,	160.361,	-45.7474
160.3611,	160.3994,	-22.6930
160.3995,	160.4281,	-33.3035
160.4282,	160.432,	-49.5113
160.4321,	160.4588,	-18.9823
160.4589,	160.4756,	-30.2075
160.4757,	160.4851,	20.2604
160.4852,	160.5216,	134.8594
160.5217,	160.5471,	-26.5013
160.5472,	160.5622,	76.2557
160.5623,	160.5645,	-39.5881
160.5646,	160.5822,	-21.5355
160.5823,	160.5834,	35.1323
160.5835,	160.6027,	-43.3384
160.6028,	160.6189,	20.1602
160.619,	160.6675,	6.4310
160.6676,	160.6675,	-25.9340
160.6676,	160.7145,	51.8220
160.7146,	160.7228,	-8.5382
160.7229,	160.723,	-8.5383
160.7231,	160.7557,	-32.1952
160.7558,	160.8263,	6.3259
160.8264,	160.85,	-39.6954
160.8501,	160.8571,	29.9290
160.8572,	160.8806,	-10.4926
160.8807,	160.8914,	20.5782
160.8915,	160.9158,	60.3323
160.9159,	160.9365,	-3.6887
160.9366,	160.9429,	-32.2741
160.943,	160.9557,	-26.0666
160.9558,	161.0628,	11.1368
161.0629,	161.1296,	-32.3526
161.1297,	161.1338,	17.2938
161.1339,	161.1485,	9.2160
161.1486,	161.218,	-42.3141
161.2181,	161.2182,	-44.1750
161.2183,	161.2281,	4.8205
161.2282,	161.2296,	88.5510
161.2297,	161.2319,	61.8787
161.232,	161.279,	58.7312
161.2791,	161.3149,	-11.9734
161.315,	161.3196,	-39.8709
161.3197,	161.3216,	5.9994
161.3217,	161.3431,	-47.3172
161.3432,	161.3519,	-47.9399
161.352,	161.3532,	61.1372
161.3533,	161.3828,	-28.1212
161.3829,	161.4018,	-12.6404
161.4019,	161.4071,	76.5721
161.4072,	161.4137,	-34.3302
161.4138,	161.4149,	-26.8965
161.415,	161.4225,	-13.2711
161.4226,	161.4259,	9.0284
161.426,	161.4715,	108.7055
161.4716,	161.4788,	20.1396
161.4789,	161.49,	-1.5419
161.4901,	161.602,	-39.9760
161.6021,	161.6164,	-38.7438
161.6165,	161.6212,	-24.5149
161.6213,	161.6952,	-17.7465
161.6953,	161.6982,	-30.7352
161.6983,	161.7143,	-42.4912
161.7144,	161.7405,	-7.8771
161.7406,	161.7656,	-30.7640
161.7657,	161.7789,	-20.2615
161.779,	161.7925,	10.6355
161.7926,	161.8229,	6.2891
161.823,	161.8346,	-12.2561
161.8347,	161.8616,	-21.5379
161.8617,	161.8654,	84.7214
161.8655,	161.8701,	-46.2532
161.8702,	161.8724,	-39.4585
161.8725,	161.906,	58.7341
161.9061,	161.9152,	-43.1801
161.9153,	161.9261,	-43.1839
161.9262,	161.9452,	46.9633
161.9453,	161.9694,	17.3061
161.9695,	161.9817,	-26.5349
