lower_bound,upper_bound,correction
1,	87.7233,	162.1879
87.7234,	89.2974,	772.4334
89.2975,	99.6336,	176.0894
99.6337,	105.6793,	441.2534
105.6794,	106.0635,	336.2170
106.0636,	122.4255,	507.8960
122.4256,	131.8706,	466.4118
131.8707,	137.8311,	3.0247
137.8312,	141.938,	424.3793
141.9381,	142.109,	423.8264
142.1091,	142.462,	129.2727
142.4621,	142.8095,	421.2208
142.8096,	144.9544,	-6.1774
144.9545,	145.0338,	397.0105
145.0339,	146.0041,	393.3223
146.0042,	146.1336,	-8.3482
146.1337,	146.3013,	126.2009
146.3014,	147.241,	407.1257
147.2411,	148.0765,	246.4426
148.0766,	149.5442,	152.0993
149.5443,	151.0767,	-21.7555
151.0768,	153.3448,	115.3332
153.3449,	154.1691,	117.0469
154.1692,	154.8387,	382.2426
154.8388,	154.9462,	-31.5891
154.9463,	158.6948,	316.7029
158.6949,	159.6085,	-31.7079
159.6086,	160.3423,	3.5285
160.3424,	160.7663,	3.2555
160.7664,	161.1009,	-32.3405
161.101,	161.1184,	69.4406
161.1185,	161.1481,	-4.4357
161.1482,	161.2831,	69.2676
161.2832,	161.5089,	-28.7965
161.509,	161.7879,	95.9355
161.788,	161.8772,	62.4688
161.8773,	162.4617,	60.6532
162.4618,	162.6417,	-14.5361
162.6418,	162.9575,	-39.2479
162.9576,	162.9636,	17.8177
162.9637,	164.2812,	-41.5636
164.2813,	164.3905,	108.0412
164.3906,	165.4971,	-37.7633
165.4972,	166.5699,	88.1127
166.57,	168.3096,	24.1759
168.3097,	168.3431,	-29.9051
168.3432,	168.4387,	-43.0060
168.4388,	172.3953,	-10.6704
172.3954,	175.8179,	-8.4280
175.818,	180.2492,	-43.4117
180.2493,	183.9056,	47.4656
183.9057,	184.1427,	-47.3235
184.1428,	184.2166,	-23.4597
184.2167,	184.5009,	187.3548
184.501,	184.5851,	-27.9465
184.5852,	184.9793,	-12.9632
184.9794,	185.636,	-6.2682
185.6361,	186.1497,	-42.5194
186.1498,	186.3744,	-58.1488
186.3745,	186.6022,	-14.2561
186.6023,	186.6858,	-63.0395
186.6859,	186.8647,	-24.5443
186.8648,	187.1978,	-2.7766
187.1979,	187.2757,	-34.3214
187.2758,	187.4052,	-56.2446
187.4053,	187.4999,	-15.7333
187.5,	187.5851,	-46.1578
187.5852,	187.5943,	-36.0322
187.5944,	187.721,	-47.7949
187.7211,	187.7238,	-40.3379
187.7239,	187.9184,	112.8584
187.9185,	188.1829,	-9.6624
188.183,	188.2717,	28.0065
188.2718,	188.4089,	-27.8166
188.409,	188.4632,	-50.1229
188.4633,	188.56,	22.5074
188.5601,	189.1677,	-20.1766
189.1678,	189.3066,	-45.0627
189.3067,	189.3169,	-11.2599
189.317,	189.4083,	-46.6760
189.4084,	189.5603,	-46.7188
189.5604,	189.5941,	-0.3133
189.5942,	189.9229,	112.1914
189.923,	189.9916,	-1.0483
189.9917,	190.3331,	-41.1558
190.3332,	190.4758,	20.7502
190.4759,	190.5196,	75.8349
190.5197,	190.5484,	-44.3711
190.5485,	190.8239,	-37.6388
190.824,	191.0678,	74.2837
191.0679,	191.0795,	-26.7321
191.0796,	191.1977,	-47.1751
191.1978,	191.2328,	-44.5702
191.2329,	191.386,	42.6436
191.3861,	191.5698,	-19.0896
191.5699,	191.7694,	-28.5600
191.7695,	191.7699,	-53.5902
191.77,	192.1292,	0.4532
192.1293,	192.1877,	-30.7968
192.1878,	192.3086,	-33.4403
192.3087,	192.4183,	9.1387
192.4184,	192.4566,	-43.3639
192.4567,	192.7148,	-33.5806
192.7149,	192.7422,	-45.0042
192.7423,	192.7562,	54.5994
192.7563,	192.7766,	-40.3455
192.7767,	192.7814,	29.6806
192.7815,	192.9479,	147.0157
192.948,	193.3418,	-27.0722
193.3419,	193.4736,	-49.3471
193.4737,	193.6779,	100.6170
193.678,	193.7804,	99.6033
193.7805,	193.7947,	-40.6589
193.7948,	193.8591,	-57.1854
193.8592,	193.8641,	140.8435
193.8642,	194.0721,	74.0031
194.0722,	194.173,	98.4283
194.1731,	194.5806,	39.2739
194.5807,	194.7052,	6.3146
194.7053,	194.9377,	70.3215
194.9378,	194.959,	70.3893
194.9591,	195.0025,	95.7528
195.0026,	195.2652,	69.6061
195.2653,	195.4524,	137.9472
195.4525,	195.7594,	-24.9078
195.7595,	196.1177,	-37.4544
196.1178,	197.9698,	-39.3847
197.9699,	198.7159,	-42.6317
198.716,	204.7396,	-52.1343
204.7397,	206.0282,	23.2382
206.0283,	206.878,	-41.3962
206.8781,	206.878,	-41.3962
206.8781,	208.7662,	-58.3266
