lower_bound,upper_bound,correction
"	-29.3037",-29.2703,"	-1212.4875"
"	-29.3401",-29.3038,"	-498.7717"
"	-29.3704",-29.3402,"	-1128.2463"
"	-29.4287",-29.3705,"	-630.0945"
"	-29.5385",-29.4288,"	-1146.0938"
"	-29.574",-29.5386,"	-526.0496"
"	-29.5771",-29.5741,"	-549.6728"
"	-29.588",-29.5772,"	-529.2283"
"	-29.6243",-29.5881,"	-1456.9922"
"	-29.6702",-29.6244,"	-555.0015"
"	-29.7014",-29.6703,"	-392.9160"
"	-29.7146",-29.7015,"	-604.8023"
"	-29.7205",-29.7147,"	-520.5846"
"	-29.7447",-29.7206,"	-449.6422"
"	-29.7703",-29.7448,"	-519.8813"
"	-29.8945",-29.7704,"	-454.5803"
"	-30.0425",-29.8946,"	-595.9639"
"	-30.0878",-30.0426,"	-797.9575"
"	-30.1241",-30.0879,"	-614.5387"
"	-30.1517",-30.1242,"	-458.1882"
"	-30.2193",-30.1518,"	-754.4888"
"	-30.2439",-30.2194,"	-414.1131"
"	-30.3467",-30.244,"	-1388.4453"
"	-30.6314",-30.3468,"	-1471.1431"
"	-30.8252",-30.6315,"	-654.7410"
"	-30.9939",-30.8253,"	-748.5148"
"	-31.1441",-30.994,"	-462.8299"
"	-31.2356",-31.1442,"	-436.1547"
"	-31.2904",-31.2357,"	-611.3386"
"	-31.3436",-31.2905,"	-441.3776"
"	-31.4137",-31.3437,"	-609.3317"
"	-31.4413",-31.4138,"	-523.0099"
"	-31.5084",-31.4414,"	-598.2800"
"	-31.7824",-31.5085,"	-512.1772"
"	-31.8048",-31.7825,"	-697.3933"
"	-31.8921",-31.8049,"	-959.1477"
"	-32.017",-31.8922,"	-1211.9091"
"	-32.0546",-32.0171,"	-502.4379"
"	-32.0559",-32.0547,"	-455.6289"
"	-32.1692",-32.056,"	-423.2909"
"	-32.2414",-32.1693,"	-884.7056"
"	-32.2635",-32.2415,"	-1203.4143"
"	-32.2957",-32.2636,"	-403.4457"
"	-32.4236",-32.2958,"	-883.3808"
"	-32.5788",-32.4237,"	-440.7127"
"	-32.6321",-32.5789,"	-342.0928"
"	-32.7112",-32.6322,"	-399.5917"
"	-32.7568",-32.7113,"	-557.9203"
"	-32.9915",-32.7569,"	-336.4244"
"	-33.1773",-32.9916,"	-681.7224"
"	-33.4064",-33.1774,"	-426.2852"
"	-33.4451",-33.4065,"	-375.0776"
"	-33.5798",-33.4452,"	-621.1461"
"	-33.7761",-33.5799,"	-517.4549"
"	-33.8445",-33.7762,"	-829.8076"
"	-33.9287",-33.8446,"	-571.5767"
"	-34.1044",-33.9288,"	-607.2659"
"	-34.1468",-34.1045,"	-439.7102"
"	-34.1833",-34.1469,"	-427.6449"
"	-34.2787",-34.1834,"	-537.5896"
"	-34.3723",-34.2788,"	-702.2291"
"	-34.3762",-34.3724,"	-303.6295"
"	-34.3847",-34.3763,"	-364.6530"
"	-34.4004",-34.3848,"	-565.1106"
"	-34.4221",-34.4005,"	-349.8395"
"	-34.4595",-34.4222,"	-1089.5681"
"	-34.4623",-34.4596,"	-1263.5900"
"	-34.5889",-34.4624,"	-392.0012"
"	-34.6061",-34.589,"	-354.2906"
"	-34.6878",-34.6062,"	-460.3575"
"	-34.7523",-34.6879,"	-756.0722"
"	-34.9013",-34.7524,"	-455.2879"
"	-34.9566",-34.9014,"	-554.8494"
"	-35.0906",-34.9567,"	-538.8644"
"	-35.1997",-35.0907,"	-367.0477"
"	-35.2044",-35.1998,"	-574.3719"
"	-35.5877",-35.2045,"	-656.3713"
"	-35.6805",-35.5878,"	-357.8442"
"	-35.8152",-35.6806,"	-488.1029"
"	-35.8522",-35.8153,"	-858.6697"
"	-35.8661",-35.8523,"	-495.9171"
"	-36.0553",-35.8662,"	-846.0766"
"	-36.0564",-36.0554,"	-468.8661"
"	-36.4795",-36.0565,"	-716.7849"
"	-36.5234",-36.4796,"	-568.1930"
"	-36.8098",-36.5235,"	-371.6664"
"	-37.0475",-36.8099,"	-356.4279"
"	-37.0587",-37.0476,"	-545.2400"
"	-37.1552",-37.0588,"	-366.4499"
"	-37.4152",-37.1553,"	-463.4884"
"	-37.6585",-37.4153,"	-522.2155"
"	-37.7542",-37.6586,"	-560.8755"
"	-37.7714",-37.7543,"	-700.9833"
"	-37.8847",-37.7715,"	-662.2318"
"	-38.0945",-37.8848,"	-506.8833"
"	-38.2069",-38.0946,"	-508.3034"
"	-38.3021",-38.207,"	-353.2498"
"	-38.4108",-38.3022,"	-917.4774"
"	-38.5065",-38.4109,"	-1143.9789"
"	-38.5111",-38.5066,"	-414.1952"
"	-38.5452",-38.5112,"	-320.7818"
"	-38.7919",-38.5453,"	-561.4365"
"	-38.9078",-38.792,"	-428.9833"
"	-38.9206",-38.9079,"	-413.4589"
"	-39.0384",-38.9207,"	-596.9465"
"	-39.2204",-39.0385,"	-344.7703"
"	-39.3777",-39.2205,"	-371.7276"
"	-39.6872",-39.3778,"	-760.1623"
"	-39.8908",-39.6873,"	-310.9506"
"	-40.2168",-39.8909,"	-328.7599"
"	-40.3458",-40.2169,"	-278.4572"
"	-40.7369",-40.3459,"	-573.7718"
"	-40.7987",-40.737,"	-345.1061"
"	-41.2488",-40.7988,"	-473.3439"
"	-41.3962",-41.2489,"	-754.6501"
"	-41.4055",-41.3963,"	-295.6261"
"	-41.7003",-41.4056,"	-301.4372"
"	-41.858",-41.7004,"	-329.3470"
"	-41.9303",-41.8581,"	-379.0344"
"	-42.6932",-41.9304,"	-345.9410"
"	-43.2248",-42.6933,"	-298.9600"
"	-43.8823",-43.2249,"	-371.1802"
"	-44.6189",-43.8824,"	-501.1757"
"	-45.1674",-44.619,"	-319.1844"
"	-45.3277",-45.1675,"	-539.0247"
"	-45.384",-45.3278,"	-415.0888"
"	-46.0657",-45.3841,"	-317.0813"
"	-46.1229",-46.0658,"	-290.7948"
"	-46.1663",-46.123,"	-780.1502"
"	-46.4274",-46.1664,"	-315.3902"
"	-46.7112",-46.4275,"	-303.3772"
"	-47.0248",-46.7113,"	-293.5150"
"	-48.4767",-47.0249,"	-267.0906"
"	-50.537",-48.4768,"	-745.0722"
"	-55.1355",-50.5371,"	-388.3805"
"	-59.7233",-55.1356,"	-245.6718"
"	-74.3927",-59.7234,"	-233.0775"
"	-79.0502",-74.3928,"	-223.9718"
"	-111.7108",-79.0503,"	-260.2352"
"	-299.9999",-111.7109,"	-208.5428"
"	0.2769",0.0001,"	102461.4829"
"	0.3756",0.277,"	15159.9943"
"	2.5256",0.3757,"	5324.4644"
