lower_bound,upper_bound,correction
-0.0001,	-99.9999,	-264.0312
0.0001,	14.7293,	592.4951
14.7294,	28.3458,	450.3452
28.3459,	30.3479,	232.8076
30.348,	33.9966,	305.9230
33.9967,	34.962,	477.7700
34.9621,	35.0276,	479.5430
35.0277,	35.2878,	194.7197
35.2879,	35.6268,	444.5339
35.6269,	36.1888,	557.6619
36.1889,	36.2145,	427.4132
36.2146,	36.4472,	561.2308
36.4473,	36.4882,	160.3585
36.4883,	36.902,	417.5875
36.9021,	36.9211,	371.2749
36.9212,	37.0226,	162.0019
37.0227,	37.4005,	838.4912
37.4006,	37.5234,	161.1704
37.5235,	37.5636,	278.0255
37.5637,	37.8467,	240.8489
37.8468,	37.9371,	150.4145
37.9372,	37.9822,	239.6328
37.9823,	38.0875,	28.6510
38.0876,	38.1028,	435.3938
38.1029,	38.1962,	483.8283
38.1963,	38.2018,	261.2396
38.2019,	38.2094,	347.5343
38.2095,	38.2109,	444.3470
38.211,	38.3024,	983.4839
38.3025,	38.413,	1011.6027
38.4131,	38.4981,	141.5703
38.4982,	38.529,	172.5218
38.5291,	38.5393,	128.3385
38.5394,	38.6316,	712.8053
38.6317,	38.6369,	132.9381
38.637,	38.7571,	121.8949
38.7572,	38.7854,	255.8036
38.7855,	38.7901,	266.0726
38.7902,	38.7993,	144.8496
38.7994,	38.8224,	446.0771
38.8225,	38.8306,	363.5518
38.8307,	38.8826,	398.9384
38.8827,	38.8835,	118.6019
38.8836,	38.9045,	457.7758
38.9046,	38.9486,	138.7765
38.9487,	39.0004,	279.4830
39.0005,	39.0483,	163.7756
39.0484,	39.0788,	759.8006
39.0789,	39.1719,	142.5206
39.172,	39.2026,	369.3564
39.2027,	39.2144,	272.3127
39.2145,	39.2166,	285.0406
39.2167,	39.2294,	93.7320
39.2295,	39.3575,	347.1825
39.3576,	39.3779,	379.9645
39.378,	39.5426,	135.1892
39.5427,	39.6236,	187.7075
39.6237,	39.6559,	293.3842
39.656,	39.6639,	200.0207
39.664,	39.7169,	192.0673
39.717,	39.7427,	524.0133
39.7428,	39.783,	143.8229
39.7831,	39.8247,	228.9418
39.8248,	39.8867,	351.2779
39.8868,	39.9027,	143.0913
39.9028,	39.9204,	1227.6407
39.9205,	39.9634,	152.7312
39.9635,	39.9835,	130.0952
39.9836,	39.9955,	495.0665
39.9956,	40.044,	139.7363
40.0441,	40.0501,	222.0965
40.0502,	40.1116,	171.7420
40.1117,	40.1347,	226.4009
40.1348,	40.1381,	475.5129
40.1382,	40.1405,	149.1249
40.1406,	40.1672,	549.7843
40.1673,	40.1764,	116.5452
40.1765,	40.2394,	128.6316
40.2395,	40.2682,	729.4376
40.2683,	40.2897,	451.0093
40.2898,	40.3247,	683.6380
40.3248,	40.3335,	147.9329
40.3336,	40.3426,	804.7504
40.3427,	40.5176,	131.9979
40.5177,	40.5397,	341.5420
40.5398,	40.5601,	97.2380
40.5602,	40.5751,	158.7796
40.5752,	40.5834,	126.6939
40.5835,	40.602,	133.9784
40.6021,	40.6957,	460.2559
40.6958,	40.7122,	258.6149
40.7123,	40.7427,	233.8018
40.7428,	40.8375,	171.8089
40.8376,	40.9035,	129.8092
40.9036,	40.9577,	529.9177
40.9578,	41.0026,	224.3699
41.0027,	41.1096,	330.5566
41.1097,	41.2769,	321.5430
41.277,	41.3908,	257.5678
41.3909,	41.3946,	95.6776
41.3947,	41.4154,	257.3554
41.4155,	41.5094,	126.4545
41.5095,	41.5098,	114.4070
41.5099,	41.5183,	143.2665
41.5184,	41.5719,	400.3382
41.572,	41.5796,	114.0472
41.5797,	41.7212,	122.9083
41.7213,	41.7463,	86.8428
41.7464,	41.7831,	893.2245
41.7832,	41.8257,	174.9504
41.8258,	41.9061,	124.3110
41.9062,	41.9199,	338.9324
41.92,	41.923,	124.2207
41.9231,	41.987,	585.9258
41.9871,	41.9904,	316.7618
41.9905,	41.9932,	416.7509
41.9933,	42.1515,	160.9632
42.1516,	42.1621,	262.8855
42.1622,	42.1748,	92.0579
42.1749,	42.1897,	511.5231
42.1898,	42.331,	209.4658
42.3311,	42.3451,	495.1097
42.3452,	42.357,	492.5815
42.3571,	42.3601,	362.7001
42.3602,	42.4679,	1148.0005
42.468,	42.4905,	118.8727
42.4906,	42.6643,	319.5547
42.6644,	42.6778,	586.5398
42.6779,	42.6985,	319.2188
42.6986,	42.835,	432.2750
42.8351,	42.8772,	767.5941
42.8773,	42.8848,	81.8827
42.8849,	42.8951,	133.1266
42.8952,	42.8997,	545.6923
42.8998,	42.9638,	235.1660
42.9639,	43.3491,	153.7540
43.3492,	43.4109,	773.0530
43.411,	43.412,	521.9476
43.4121,	43.4672,	146.1628
43.4673,	43.6335,	516.4986
43.6336,	43.6408,	81.0234
43.6409,	43.6552,	71.8008
43.6553,	43.9059,	159.6460
43.906,	44.0677,	605.7326
44.0678,	44.209,	112.6265
44.2091,	44.2772,	105.5234
44.2773,	44.3344,	224.8045
44.3345,	44.4051,	170.2393
44.4052,	44.4229,	246.6681
44.423,	44.5184,	313.3119
44.5185,	44.556,	411.7153
44.5561,	44.6264,	370.5735
44.6265,	44.6841,	101.4139
44.6842,	44.8581,	187.5734
44.8582,	44.9328,	367.3645
44.9329,	44.9708,	142.3796
44.9709,	45.0376,	737.0778
45.0377,	45.0956,	463.2481
45.0957,	45.1662,	457.9393
45.1663,	45.1732,	391.4421
45.1733,	45.1743,	223.1926
45.1744,	45.2193,	123.3559
45.2194,	45.2497,	251.3832
45.2498,	45.2523,	160.7601
45.2524,	45.289,	129.6364
45.2891,	45.3022,	125.1545
45.3023,	45.3293,	299.3000
45.3294,	45.3402,	213.1882
45.3403,	45.3682,	838.9827
45.3683,	45.3944,	483.7729
45.3945,	45.4751,	236.4479
45.4752,	45.54,	501.6683
45.5401,	45.5981,	99.5698
45.5982,	45.62,	237.5709
45.6201,	45.6316,	169.5498
45.6317,	45.6622,	105.8596
45.6623,	45.7306,	96.8048
45.7307,	45.8374,	349.4149
45.8375,	45.8656,	828.8014
45.8657,	45.8852,	396.8920
45.8853,	45.923,	95.9804
45.9231,	45.9949,	576.1625
45.995,	46.0066,	121.7071
46.0067,	46.0175,	173.8090
46.0176,	46.2133,	109.8965
46.2134,	46.2496,	194.0563
46.2497,	46.2534,	157.2785
46.2535,	46.297,	718.6283
46.2971,	46.3035,	124.6050
46.3036,	46.3629,	208.4362
46.363,	46.3895,	734.2403
46.3896,	46.5284,	456.6497
46.5285,	46.5554,	207.1610
46.5555,	46.6506,	242.9750
46.6507,	46.7099,	486.5993
46.71,	46.7825,	156.5062
46.7826,	46.7974,	387.2071
46.7975,	46.8892,	465.1619
46.8893,	46.9033,	128.1288
46.9034,	47.016,	116.9472
47.0161,	47.0998,	80.4679
47.0999,	47.1982,	264.4210
47.1983,	47.7428,	199.5216
47.7429,	47.7789,	117.6692
47.779,	47.954,	81.4239
47.9541,	48.0334,	222.6924
48.0335,	48.1665,	292.3892
48.1666,	48.3951,	112.8316
48.3952,	48.7977,	295.5106
48.7978,	48.849,	106.7597
48.8491,	49.0658,	111.9604
49.0659,	49.3774,	106.5724
49.3775,	49.3841,	108.5690
49.3842,	49.8462,	170.8331
49.8463,	49.8868,	1233.0179
49.8869,	50.1802,	483.8961
50.1803,	50.3484,	265.4535
50.3485,	50.368,	56.8457
50.3681,	50.4115,	1219.1444
50.4116,	50.7974,	110.6406
50.7975,	50.9032,	131.8124
50.9033,	50.9738,	119.7206
50.9739,	50.9798,	76.5406
50.9799,	51.211,	48.4055
51.2111,	51.3024,	92.9736
51.3025,	51.3826,	125.7575
51.3827,	51.7922,	73.7714
51.7923,	52.2207,	124.0490
52.2208,	52.5231,	99.9119
52.5232,	52.9093,	372.5067
52.9094,	52.9983,	149.0647
52.9984,	53.0053,	122.6193
53.0054,	53.1609,	548.9737
53.161,	53.4162,	94.6973
53.4163,	53.4254,	64.7156
53.4255,	53.4771,	86.9958
53.4772,	53.5274,	467.9337
53.5275,	53.6569,	41.6407
53.657,	53.7629,	152.9627
53.763,	54.0739,	240.2748
54.074,	54.2662,	65.8490
54.2663,	54.318,	96.9880
54.3181,	54.4618,	100.1401
54.4619,	55.0886,	214.0398
55.0887,	55.4537,	96.5605
55.4538,	55.5261,	101.7070
55.5262,	55.5408,	625.5927
55.5409,	55.836,	209.8358
55.8361,	56.544,	32.6401
56.5441,	56.5615,	110.3903
56.5616,	56.718,	90.4159
56.7181,	56.8106,	68.9825
56.8107,	56.8495,	86.4573
56.8496,	57.3785,	211.9634
57.3786,	57.5257,	70.3585
57.5258,	57.5436,	518.6608
57.5437,	58.318,	308.1076
58.3181,	58.7527,	344.2351
58.7528,	59.4919,	74.8138
59.492,	59.6247,	478.6190
59.6248,	61.6785,	161.0310
61.6786,	62.7894,	95.8930
62.7895,	62.9939,	85.7323
62.994,	63.1359,	259.5417
63.136,	64.9532,	67.8131
64.9533,	65.6474,	91.9346
65.6475,	67.2367,	30.8808
67.2368,	69.8788,	71.7260
69.8789,	70.9969,	67.6129
70.997,	71.1151,	-31.0977
71.1152,	76.0755,	-9.3006
76.0756,	76.6956,	16.0431
76.6957,	80.7239,	52.6264
80.724,	80.7239,	52.6264
80.724,	99.4587,	29.5969
99.4588,	99.4587,	29.5969
99.4588,	99.6634,	44.4864
99.6635,	109.7286,	49.4597
109.7287,	139.8097,	26.6007
