lower_bound,upper_bound,correction
0.0001,	80.8036,	26.2320
80.8037,	92.2196,	230.7323
92.2197,	94.0569,	9.5082
94.057,	97.7063,	16.6762
97.7064,	104.7884,	-12.2040
104.7885,	104.9227,	1.0267
104.9228,	105.101,	41.7684
105.1011,	105.554,	-0.5249
105.5541,	107.3822,	-6.3802
107.3823,	107.3822,	-6.3802
107.3823,	107.398,	136.5034
107.3981,	108.1864,	-22.3562
108.1865,	108.5963,	-20.8076
108.5964,	113.2016,	119.0782
113.2017,	113.6058,	16.4094
113.6059,	115.8358,	170.2101
115.8359,	119.0598,	102.4192
119.0599,	121.3633,	-14.0329
121.3634,	121.3633,	-14.0329
121.3634,	123.0712,	14.5678
123.0713,	123.4531,	95.2159
123.4532,	125.0784,	103.0726
125.0785,	125.6204,	26.5718
125.6205,	126.2837,	-19.2295
126.2838,	126.4725,	52.6024
126.4726,	128.966,	-13.9308
128.9661,	129.7162,	-19.8250
129.7163,	129.9802,	-18.4491
129.9803,	131.1966,	-3.9609
131.1967,	131.3313,	36.2965
131.3314,	131.3578,	8.8630
131.3579,	131.3763,	-4.0923
131.3764,	131.5704,	-26.2752
131.5705,	131.9188,	39.4797
131.9189,	132.7551,	-2.8286
132.7552,	133.3049,	42.5304
133.305,	133.3384,	22.2454
133.3385,	133.4864,	76.0479
133.4865,	133.8122,	-22.2791
133.8123,	134.498,	1.1167
134.4981,	134.8533,	114.3070
134.8534,	134.9991,	91.1124
134.9992,	135.1618,	4.3194
135.1619,	135.3843,	38.1253
135.3844,	135.4472,	0.4081
135.4473,	135.8084,	5.2954
135.8085,	135.8714,	-17.5691
135.8715,	135.9587,	-26.4482
135.9588,	136.0525,	27.1568
136.0526,	136.2446,	24.7756
136.2447,	136.2892,	-18.5555
136.2893,	136.4837,	31.1512
136.4838,	136.716,	111.3871
136.7161,	136.7268,	-30.5184
136.7269,	136.9683,	129.2502
136.9684,	137.1727,	61.1108
137.1728,	137.2874,	-15.5057
137.2875,	137.3936,	116.1673
137.3937,	137.5513,	18.5012
137.5514,	137.5639,	-31.6681
137.564,	137.8876,	-17.3239
137.8877,	138.3183,	64.8372
138.3184,	138.5487,	23.4223
138.5488,	138.7219,	121.3061
138.722,	138.9579,	23.0588
138.958,	139.0659,	1.3907
139.066,	139.2514,	-21.0062
139.2515,	139.5592,	2.4655
139.5593,	139.808,	0.8526
139.8081,	139.8186,	33.7447
139.8187,	139.8554,	2.2485
139.8555,	139.9827,	31.4448
139.9828,	139.9836,	0.7261
139.9837,	140.6659,	62.0862
140.666,	140.6903,	-31.0542
140.6904,	140.7441,	118.1264
140.7442,	140.7479,	-16.8727
140.748,	140.7654,	-8.3582
140.7655,	140.8992,	90.9166
140.8993,	140.9093,	83.0965
140.9094,	141.0759,	-24.1543
141.076,	141.1172,	-33.3887
141.1173,	141.3503,	-0.2478
141.3504,	141.3795,	-20.7806
141.3796,	141.3968,	234.5196
141.3969,	141.4007,	-3.1122
141.4008,	141.4589,	10.2794
141.459,	141.5162,	204.5587
141.5163,	141.6048,	15.1091
141.6049,	141.7352,	-35.0902
141.7353,	141.9493,	121.2057
141.9494,	141.9536,	-34.4856
141.9537,	141.9744,	42.9835
141.9745,	142.0434,	-33.1190
142.0435,	142.2563,	19.5027
142.2564,	142.2928,	232.4131
142.2929,	142.348,	42.6083
142.3481,	142.4607,	3.8883
142.4608,	142.6731,	-41.1242
142.6732,	142.6832,	-36.9232
142.6833,	142.7195,	-20.8237
142.7196,	142.8251,	-27.1836
142.8252,	142.9551,	-37.0432
142.9552,	143.0996,	90.0774
143.0997,	143.1957,	-0.8350
143.1958,	143.2731,	-29.5053
143.2732,	143.3865,	-21.1920
143.3866,	143.3963,	41.5657
143.3964,	143.4131,	70.1379
143.4132,	143.5103,	-29.6218
143.5104,	143.5647,	14.9307
143.5648,	143.5702,	65.7726
143.5703,	143.6536,	-43.6144
143.6537,	143.6767,	-18.5672
143.6768,	143.7365,	-18.6010
143.7366,	143.7371,	34.9686
143.7372,	143.7567,	81.5568
143.7568,	143.7684,	-25.5748
143.7685,	143.8643,	-36.7459
143.8644,	143.9031,	-28.4241
143.9032,	143.9105,	-36.0714
143.9106,	143.9321,	3.5210
143.9322,	143.9588,	-15.2535
143.9589,	143.9797,	-29.8512
143.9798,	144.1061,	-20.8916
144.1062,	144.1067,	-30.6070
144.1068,	144.1956,	-22.3278
144.1957,	144.2561,	-24.4399
144.2562,	144.3242,	20.5619
144.3243,	144.426,	-24.5288
144.4261,	144.4717,	-23.1683
144.4718,	144.4997,	-24.5673
144.4998,	144.5193,	-31.4970
144.5194,	144.5281,	-31.5012
144.5282,	144.6128,	-12.1793
144.6129,	144.6274,	-26.7082
144.6275,	144.6341,	46.5768
144.6342,	144.7855,	-40.6018
144.7856,	144.8074,	105.1000
144.8075,	144.834,	20.8280
144.8341,	144.9078,	67.6929
144.9079,	144.9144,	24.9013
144.9145,	144.9791,	-31.7143
144.9792,	145.0001,	-28.2759
145.0002,	145.0086,	-23.4528
145.0087,	145.1608,	-14.5775
145.1609,	145.1934,	23.2838
145.1935,	145.2372,	-28.3930
145.2373,	145.37,	5.9366
145.3701,	145.3822,	-14.7076
145.3823,	145.3923,	21.7396
145.3924,	145.4687,	54.6724
145.4688,	145.4825,	7.9168
145.4826,	145.548,	7.1812
145.5481,	145.5491,	22.9825
145.5492,	145.605,	-27.2003
145.6051,	145.6555,	-14.8676
145.6556,	145.665,	-38.2144
145.6651,	145.6973,	-44.4053
145.6974,	145.7439,	38.5993
145.744,	145.8336,	-28.6859
145.8337,	145.8842,	-8.8318
145.8843,	145.8874,	185.8369
145.8875,	145.9374,	-19.8286
145.9375,	145.9378,	22.6550
145.9379,	146.0177,	-34.2546
146.0178,	146.0193,	-26.0372
146.0194,	146.0449,	32.8359
146.045,	146.0582,	43.7783
146.0583,	146.0657,	-2.7835
146.0658,	146.1182,	22.5035
146.1183,	146.1272,	71.0838
146.1273,	146.1358,	-2.8301
146.1359,	146.2218,	120.8973
146.2219,	146.2413,	-43.9283
146.2414,	146.3313,	193.1703
146.3314,	146.3331,	-28.9293
146.3332,	146.3465,	22.3125
146.3466,	146.3713,	-20.7495
146.3714,	146.5541,	23.5039
146.5542,	146.6071,	66.4313
146.6072,	146.6431,	-27.7157
146.6432,	146.7235,	9.7302
146.7236,	146.8072,	-20.9848
146.8073,	146.8089,	190.8544
146.809,	146.8102,	-38.6964
146.8103,	146.8182,	120.0000
146.8183,	146.8638,	-17.6107
146.8639,	146.8813,	-18.9822
146.8814,	147.0093,	7.4762
147.0094,	147.01,	-0.0068
147.0101,	147.0258,	-35.3855
147.0259,	147.0317,	-23.8260
147.0318,	147.1081,	29.1567
147.1082,	147.111,	-24.5468
147.1111,	147.1381,	48.8398
147.1382,	147.1829,	-30.6985
147.183,	147.2004,	73.2332
147.2005,	147.2612,	-37.5260
147.2613,	147.2693,	-40.9246
147.2694,	147.2906,	-25.9966
147.2907,	147.412,	-11.8118
147.4121,	147.5054,	-17.2912
147.5055,	147.5153,	-15.9409
147.5154,	147.5312,	21.3303
147.5313,	147.6911,	-29.5828
147.6912,	147.7417,	8.2971
147.7418,	147.7664,	-43.1535
147.7665,	147.8367,	-24.9172
147.8368,	147.862,	-32.3693
147.8621,	147.893,	-36.4406
147.8931,	147.9332,	9.5089
147.9333,	147.9546,	-24.9770
147.9547,	148.0318,	-24.3406
148.0319,	148.0767,	31.0132
148.0768,	148.1116,	170.0667
148.1117,	148.1455,	-38.5739
148.1456,	148.1574,	-31.8292
148.1575,	148.1816,	72.0861
148.1817,	148.2153,	-29.8318
148.2154,	148.2442,	41.6581
148.2443,	148.2764,	-30.5352
148.2765,	148.3003,	-38.6380
148.3004,	148.3122,	-42.0142
148.3123,	148.3829,	-29.9111
148.383,	148.4629,	-27.2546
148.463,	148.5067,	44.1012
148.5068,	148.5489,	-12.4868
148.549,	148.6149,	-1.7595
148.615,	148.6656,	-38.1161
148.6657,	148.6851,	45.9460
148.6852,	148.7074,	100.3935
148.7075,	148.7344,	72.1189
148.7345,	148.7397,	-28.7346
148.7398,	148.8302,	28.3341
148.8303,	148.8854,	14.1818
148.8855,	148.8985,	-30.8253
148.8986,	148.9119,	-35.5324
148.912,	148.9206,	-22.7776
148.9207,	148.9421,	-46.2879
148.9422,	148.9581,	-26.8251
148.9582,	149.0305,	-17.4666
149.0306,	149.051,	-41.6307
149.0511,	149.0901,	-38.9631
149.0902,	149.091,	-26.8903
149.0911,	149.1217,	16.6832
149.1218,	149.1302,	-37.6384
149.1303,	149.1366,	71.6547
149.1367,	149.1508,	-3.4534
149.1509,	149.2039,	82.9711
149.204,	149.2499,	-29.6482
149.25,	149.2674,	-39.7055
149.2675,	149.5441,	-26.4431
149.5442,	149.5533,	-26.4476
149.5534,	149.6732,	-2.4541
149.6733,	149.677,	-40.5386
149.6771,	149.6869,	-31.1897
149.687,	149.6948,	151.1777
149.6949,	149.6981,	21.5780
149.6982,	149.7349,	-35.2189
149.735,	149.8045,	-35.9165
149.8046,	149.8256,	-17.2371
149.8257,	149.8315,	-25.2494
149.8316,	149.8553,	34.7967
149.8554,	149.8574,	18.1123
149.8575,	149.8752,	-41.9517
149.8753,	149.9581,	-21.3113
149.9582,	150.0014,	-46.6671
150.0015,	150.0188,	41.3156
150.0189,	150.0252,	-29.3452
150.0253,	150.0258,	-54.0079
150.0259,	150.0499,	72.6092
150.05,	150.119,	-48.0412
150.1191,	150.1488,	-35.3974
150.1489,	150.1631,	-27.4122
150.1632,	150.1818,	-29.4189
150.1819,	150.2254,	102.3626
150.2255,	150.2287,	-40.7570
150.2288,	150.2305,	-28.1105
150.2306,	150.2476,	-21.4630
150.2477,	150.2556,	-2.1667
150.2557,	150.2902,	-27.4737
150.2903,	150.2943,	-7.5148
150.2944,	150.3108,	-35.4671
150.3109,	150.3241,	62.3159
150.3242,	150.4014,	-46.8090
150.4015,	150.4306,	-32.8594
150.4307,	150.4879,	6.9853
150.488,	150.4992,	33.5555
150.4993,	150.5407,	142.4593
150.5408,	150.5416,	-20.9521
150.5417,	150.5892,	-28.2817
150.5893,	150.5905,	-18.9856
150.5906,	150.6261,	-9.7102
150.6262,	150.6547,	30.0988
150.6548,	150.6553,	-21.0118
150.6554,	150.706,	22.0920
150.7061,	150.7448,	43.9519
150.7449,	150.7583,	4.1402
150.7584,	150.7683,	47.9091
150.7684,	150.8084,	-29.0490
150.8085,	150.9357,	70.9337
150.9358,	150.9608,	69.5805
150.9609,	150.9681,	-37.7352
150.9682,	151.0186,	109.2458
151.0187,	151.0597,	-25.1951
151.0598,	151.0804,	-32.4863
151.0805,	151.0862,	-35.7982
151.0863,	151.0998,	-39.7749
151.0999,	151.124,	68.7356
151.1241,	151.1367,	-8.6919
151.1368,	151.1771,	-19.9614
151.1772,	151.2457,	46.1198
151.2458,	151.2577,	104.9483
151.2578,	151.2714,	116.1677
151.2715,	151.2731,	11.7184
151.2732,	151.2776,	46.0891
151.2777,	151.3858,	-12.1450
151.3859,	151.4163,	175.3997
151.4164,	151.4388,	97.4395
151.4389,	151.4945,	-5.6072
151.4946,	151.5137,	98.6619
151.5138,	151.5285,	18.1296
151.5286,	151.5473,	7.5572
151.5474,	151.55,	-26.0970
151.5501,	151.55,	-26.0970
151.5501,	151.5701,	-46.5594
