lower_bound,upper_bound,correction
-0.0001,	-2.1583,	-13027.0527
-2.1584,	-3.0218,	-7942.8851
-3.0219,	-3.5959,	-4688.5436
-3.596,	-5.1096,	-1998.3758
-5.1097,	-5.8541,	-7462.4085
-5.8542,	-6.7638,	-2184.6413
-6.7639,	-10.6798,	-1485.7951
-10.6799,	-11.4914,	-1260.5596
-11.4915,	-11.7136,	-2208.6650
-11.7137,	-12.0446,	-1059.7640
-12.0447,	-12.9656,	-817.2848
-12.9657,	-13.2412,	-3333.7285
-13.2413,	-14.5604,	-676.9078
-14.5605,	-15.1594,	-699.1289
-15.1595,	-16.6292,	-1128.3100
-16.6293,	-17.3662,	-652.7973
-17.3663,	-17.4754,	-1220.1168
-17.4755,	-17.5342,	-590.4692
-17.5343,	-17.7049,	-625.2773
-17.705,	-19.2768,	-728.5172
-19.2769,	-19.9262,	-872.8512
-19.9263,	-20.6996,	-1621.7245
-20.6997,	-21.7093,	-1868.8251
-21.7094,	-21.8608,	-882.2213
-21.8609,	-22.0594,	-2720.6902
-22.0595,	-22.2752,	-822.7779
-22.2753,	-22.7337,	-1789.1200
-22.7338,	-22.751,	-451.6326
-22.7511,	-22.7862,	-824.1238
-22.7863,	-23.0375,	-538.4157
-23.0376,	-23.2109,	-444.6652
-23.211,	-23.5234,	-2067.1830
-23.5235,	-23.8364,	-976.8111
-23.8365,	-23.9129,	-781.6400
-23.913,	-24.1281,	-497.8767
-24.1282,	-24.1331,	-564.0927
-24.1332,	-24.1888,	-1191.4141
-24.1889,	-24.3469,	-1453.5876
-24.347,	-25.0718,	-813.9488
-25.0719,	-25.3628,	-498.2218
-25.3629,	-25.4884,	-640.1406
-25.4885,	-25.9281,	-983.2120
-25.9282,	-26.09,	-1370.6835
-26.0901,	-26.2452,	-473.4012
-26.2453,	-26.3894,	-1361.4187
-26.3895,	-26.4254,	-489.7759
-26.4255,	-26.5938,	-1544.9017
-26.5939,	-26.9249,	-1299.6343
-26.925,	-27.299,	-553.6474
-27.2991,	-27.3436,	-1498.8606
-27.3437,	-27.4166,	-431.9159
-27.4167,	-27.6293,	-968.6427
-27.6294,	-27.648,	-1301.8764
-27.6481,	-27.8526,	-1090.8103
-27.8527,	-27.9101,	-443.9612
-27.9102,	-27.95,	-1466.0379
-27.9501,	-28.0286,	-1052.5976
-28.0287,	-28.0664,	-591.3314
-28.0665,	-28.0723,	-1464.1426
-28.0724,	-28.1362,	-1459.6868
-28.1363,	-28.1632,	-401.8128
-28.1633,	-28.2917,	-400.4410
-28.2918,	-28.3405,	-1272.5420
-28.3406,	-28.3441,	-537.4815
-28.3442,	-28.3775,	-1430.3173
-28.3776,	-28.4333,	-1447.8037
-28.4334,	-28.4394,	-534.6042
-28.4395,	-28.4795,	-1074.9015
-28.4796,	-28.4908,	-1740.7150
-28.4909,	-28.507,	-1264.2636
-28.5071,	-28.5643,	-485.0959
-28.5644,	-28.5926,	-581.8050
-28.5927,	-28.7257,	-529.4352
-28.7258,	-28.7356,	-1268.3641
-28.7357,	-28.7784,	-532.0645
-28.7785,	-28.8313,	-1426.8609
-28.8314,	-28.8984,	-719.4111
-28.8985,	-28.9321,	-417.9854
-28.9322,	-28.9363,	-814.6481
-28.9364,	-28.9827,	-1702.2548
-28.9828,	-28.9867,	-529.5153
-28.9868,	-29.0557,	-595.5995
-29.0558,	-29.208,	-1244.2424
-29.2081,	-29.2299,	-1242.5168
-29.23,	-29.2609,	-410.9951
-29.261,	-29.2745,	-711.4546
-29.2746,	-29.2889,	-523.6452
-29.289,	-29.4128,	-1402.0523
-29.4129,	-29.4235,	-446.6621
-29.4236,	-29.5657,	-1396.2748
-29.5658,	-29.6695,	-565.6033
-29.6696,	-29.7697,	-1217.3507
-29.7698,	-29.8749,	-1211.3021
-29.875,	-29.9336,	-460.7988
-29.9337,	-29.9984,	-1120.0549
-29.9985,	-30.0584,	-1373.4211
-30.0585,	-30.088,	-1204.8490
-30.0881,	-30.2092,	-421.0939
-30.2093,	-30.2431,	-1195.7647
-30.2432,	-30.2575,	-1111.3196
-30.2576,	-30.3459,	-1195.4598
-30.346,	-30.348,	-558.0481
-30.3481,	-30.3548,	-1192.4591
-30.3549,	-30.3934,	-1193.4332
-30.3935,	-30.4584,	-408.6177
-30.4585,	-30.4947,	-506.4096
-30.4948,	-30.5709,	-554.6809
-30.571,	-30.5734,	-580.8094
-30.5735,	-30.7468,	-503.9552
-30.7469,	-30.7597,	-1180.3787
-30.7598,	-30.8155,	-456.9635
-30.8156,	-30.8168,	-1176.8642
-30.8169,	-30.8557,	-848.6454
-30.8558,	-30.8558,	-1338.3023
-30.8559,	-30.9068,	-1177.3382
-30.9069,	-30.9289,	-471.8211
-30.929,	-31.0626,	-363.9831
-31.0627,	-31.1018,	-1171.5431
-31.1019,	-31.1029,	-1167.5005
-31.103,	-31.107,	-1605.4254
-31.1071,	-31.3402,	-1167.9419
-31.3403,	-31.3547,	-415.7423
-31.3548,	-31.3948,	-983.7258
-31.3949,	-31.4824,	-1320.5216
-31.4825,	-31.8312,	-389.0244
-31.8313,	-32.0055,	-387.4503
-32.0056,	-32.0897,	-1551.4434
-32.0898,	-32.1166,	-1144.6891
-32.1167,	-32.335,	-1556.6514
-32.3351,	-32.3758,	-529.3324
-32.3759,	-32.4699,	-528.0884
-32.47,	-32.4906,	-909.4649
-32.4907,	-32.712,	-598.2882
-32.7121,	-32.9372,	-749.7206
-32.9373,	-33.0414,	-438.9684
-33.0415,	-33.2176,	-1054.3135
-33.2177,	-33.3011,	-1223.0868
-33.3012,	-33.5136,	-825.0783
-33.5137,	-33.5747,	-737.3851
-33.5748,	-33.5991,	-751.8034
-33.5992,	-33.7544,	-485.1349
-33.7545,	-33.8644,	-705.3561
-33.8645,	-34.1167,	-387.2491
-34.1168,	-34.1843,	-512.4701
-34.1844,	-34.4848,	-656.7665
-34.4849,	-34.5134,	-395.5376
-34.5135,	-34.6438,	-521.4318
-34.6439,	-34.7574,	-278.3793
-34.7575,	-34.8501,	-349.6405
-34.8502,	-35.1415,	-421.5571
-35.1416,	-35.2051,	-563.0015
-35.2052,	-35.8913,	-395.3366
-35.8914,	-35.8969,	-384.1470
-35.897,	-35.9746,	-439.1285
-35.9747,	-36.2647,	-408.8406
-36.2648,	-36.7121,	-1625.3812
-36.7122,	-37.3818,	-530.6914
-37.3819,	-37.77,	-412.4171
-37.7701,	-39.8118,	-471.7495
-39.8119,	-43.7666,	-655.2185
-43.7667,	-88.6203,	-395.6432
0.0001,	3.09,	3136.2116
3.0901,	3.1839,	1438.9766
3.184,	5.6842,	2679.6140
5.6843,	5.8574,	1487.7389
5.8575,	11.6337,	682.2086
11.6338,	12.3376,	556.5288
12.3377,	15.91,	1726.1599
15.9101,	18.2369,	892.4935
18.237,	19.2069,	561.2217
19.207,	19.6933,	524.5768
19.6934,	35.6921,	185.7778
