"Feature","Status","Flash_KB","RAM_KB","FlashDelta","RAMDelta","Dependencies"
"BASELINE","OK","348.3","146.8","0","0","(none)"
"SystemView","OK","354.9","151.9","6.6","5.1","(none)"
