lower_bound,upper_bound,correction
1.000000,110.294100,144.800000
110.294200,115.056400,30.370900
115.056500,115.645400,-16.987600
115.645500,121.740300,1.856200
121.740400,123.392000,-8.422000
123.392100,126.267100,19.587800
126.267200,126.726000,-7.674800
126.726100,126.911900,15.040400
126.912000,127.183300,-25.304600
127.183400,128.118600,8.493200
128.118700,129.719500,60.346000
129.719600,129.870800,-12.220500
129.870900,131.186600,-23.772700
131.186700,132.307800,-32.732600
132.307900,132.307800,-32.732600
132.307900,132.637000,80.191100
132.637100,132.857300,-9.677500
132.857400,132.871100,-14.955200
132.871200,133.037800,89.419800
133.037900,133.058500,-28.602800
133.058600,133.382600,35.699800
133.382700,134.669500,-27.971800
134.669600,134.692100,67.047700
134.692200,134.753200,22.446000
134.753300,134.779400,-38.417900
134.779500,135.150500,-31.927700
135.150600,135.344800,146.038300
135.344900,137.107900,21.072500
137.108000,137.107900,21.072500
137.108000,137.541300,78.128300
137.541400,137.887200,-27.476900
137.887300,138.358300,151.520900
138.358400,139.104700,139.388100
139.104800,139.372800,7.625000
139.372900,139.560000,-26.913200
139.560100,139.628800,50.398800
139.628900,140.177700,7.007000
140.177800,141.622000,-42.805500
141.622100,141.630400,-34.336100
141.630500,141.792900,-20.306300
141.793000,141.836100,72.029600
141.836200,144.021500,288.830700
144.021600,144.071000,272.732900
144.071100,145.403100,174.409500
145.403200,145.919000,263.215300
145.919100,146.063500,262.856000
146.063600,146.333200,350.342100
146.333300,147.417900,290.726100
147.418000,148.572200,153.075700
148.572300,151.248700,335.706300
151.248800,152.624900,-41.031900
152.625000,154.194100,244.371100
154.194200,154.387300,243.940300
154.387400,154.513900,276.665200
154.514000,155.530300,123.750600
155.530400,155.768200,273.632200
155.768300,155.825700,273.494300
155.825800,156.562400,267.904300
156.562500,156.613500,252.459900
156.613600,156.694400,252.278100
156.694500,157.568300,332.828300
157.568400,157.591100,332.765600
157.591200,157.824500,319.453300
157.824600,157.868300,300.333600
157.868400,157.919400,319.201100
157.919500,157.965600,300.087100
157.965700,157.997300,254.436500
157.997400,158.003100,251.259000
158.003200,158.086800,301.045400
158.086900,158.087100,239.686100
158.087200,158.139500,300.911800
158.139600,158.296500,239.236700
158.296600,158.360200,330.663900
158.360300,158.430500,232.006900
158.430600,158.521400,238.755400
158.521500,158.828100,238.101400
158.828200,158.841500,231.147600
158.841600,159.170900,229.834100
159.171000,159.354500,229.454200
159.354600,162.421300,225.696200
162.421400,163.311900,124.111000
163.312000,181.776400,200.919200
