lower_bound,upper_bound,correction
1.000000,140.142700,4.179600
140.142800,144.886500,-40.643200
144.886600,146.048700,-34.953200
146.048800,146.382000,-18.705900
146.382100,146.967900,34.042800
146.968000,147.627800,-0.425200
147.627900,148.045500,-37.181500
148.045600,148.083800,39.110400
148.083900,148.721000,-21.329200
148.721100,149.144900,-31.610100
149.145000,149.251100,79.563100
149.251200,149.462500,-21.719500
149.462600,150.171200,-26.750300
150.171300,150.200600,-6.125500
150.200700,150.205200,85.745900
150.205300,150.910800,-6.567300
150.910900,150.962300,3.999500
150.962400,151.042800,9.240600
151.042900,151.242400,-25.946700
151.242500,151.505200,22.108000
151.505300,151.789200,27.150000
151.789300,151.944000,78.355200
151.944100,152.041700,-9.235400
152.041800,152.163600,106.356800
152.163700,152.752600,4.089900
152.752700,152.804000,59.027300
152.804100,153.142900,26.026100
153.143000,153.147900,28.633800
153.148000,153.151300,120.043800
153.151400,153.273100,-19.098600
153.273200,153.351500,-19.140000
153.351600,153.351500,-19.140000
153.351600,153.398500,-8.734400
153.398600,153.473200,-22.462000
153.473300,153.885300,-43.464400
153.885400,153.912900,34.491600
153.913000,154.180200,40.744400
154.180300,154.297100,-33.245700
154.297200,154.318000,69.131200
154.318100,154.440900,-39.135300
154.441000,154.501800,-9.386200
154.501900,154.725600,42.187200
154.725700,154.728000,-1.763100
154.728100,154.781400,42.136000
154.781500,154.841700,-0.543600
154.841800,155.099100,-40.038300
155.099200,155.112200,-24.570700
155.112300,155.145800,20.531800
155.145900,155.153600,-12.989500
155.153700,155.247800,-30.433800
155.247900,155.271600,96.430000
155.271700,155.277000,-9.838500
155.277100,155.372700,-13.755700
155.372800,155.378800,71.838100
155.378900,155.394300,40.288300
155.394400,155.422400,10.022800
155.422500,155.461800,-39.535000
155.461900,155.484700,17.053300
155.484800,155.500900,17.041100
155.501000,155.663900,-33.831800
155.664000,155.706400,3.399700
155.706500,155.823600,-37.750100
155.823700,155.827700,-30.050900
155.827800,155.847800,-23.001800
155.847900,155.919000,-21.112900
155.919100,155.969200,134.020600
155.969300,155.998000,-28.204200
155.998100,156.004000,-60.257400
156.004100,156.030300,-11.555600
156.030400,156.069300,-25.674000
156.069400,156.082000,-17.351100
156.082100,156.166500,-41.088500
156.166600,156.198300,-20.613700
156.198400,156.253300,-28.321500
156.253400,156.399600,-52.045900
156.399700,156.482100,-38.012100
156.482200,156.494900,41.857600
156.495000,156.494900,41.857600
156.495000,156.525600,-13.752100
156.525700,156.538000,2.211600
156.538100,156.551600,-34.207000
156.551700,156.579400,46.251700
156.579500,156.593500,-34.224600
156.593600,156.616800,-40.619400
156.616900,156.630600,7.258700
156.630700,156.633100,3.426400
156.633200,156.648700,-18.288500
156.648800,156.674000,-36.811500
156.674100,156.674800,-31.705700
156.674900,156.689300,-10.651200
156.689400,156.718400,-22.791500
156.718500,156.720400,-32.363600
156.720500,156.754300,8.450000
156.754400,156.761600,-22.812700
156.761700,156.784400,2.051000
156.784500,156.794600,-9.435700
156.794700,156.800600,8.418000
156.800700,156.810100,-22.836600
156.810200,156.820500,-35.595100
156.820600,156.820500,-35.595100
156.820600,156.850300,-5.642500
156.850400,156.878000,-20.320300
156.878100,156.894800,-40.087300
156.894900,156.904700,-49.651000
156.904800,156.908500,87.370300
156.908600,156.915200,31.281100
156.915300,156.915300,-19.064600
156.915400,156.916400,-12.692400
156.916500,156.918000,98.829900
156.918100,156.923000,-20.980300
156.923100,156.925600,1.959200
156.925700,156.934300,-5.055800
156.934400,156.935000,-42.651400
156.935100,156.949200,17.235400
156.949300,156.974400,-8.902400
156.974500,156.987800,-17.191000
156.987900,156.998600,-37.579100
156.998700,157.007200,63.049900
157.007300,157.022600,-49.051900
157.022700,157.031300,-21.671700
157.031400,157.047300,6.337400
157.047400,157.063500,28.610400
157.063600,157.067400,-1.952900
157.067500,157.084600,29.866400
157.084700,157.086400,5.674400
157.086500,157.087000,78.245200
157.087100,157.099800,65.499900
157.099900,157.102200,-7.703400
157.102300,157.122000,-28.717800
157.122100,157.128300,2.464000
157.128400,157.134400,-32.541800
157.134500,157.135100,-38.906100
157.135200,157.135700,-45.906600
157.135800,157.138000,-36.998000
157.138100,157.140500,1.819700
157.140600,157.145300,-35.091900
157.145400,157.148200,-38.911200
157.148300,157.158200,78.164400
157.158300,157.173000,6.888600
157.173100,157.182100,1.792800
157.182200,157.188800,-35.109900
157.188900,157.228800,16.390900
157.228900,157.229000,-13.502000
157.229100,157.234000,64.722600
157.234100,157.238900,-38.946400
157.239000,157.245300,34.821200
157.245400,157.255000,72.331600
157.255100,157.268000,-38.957700
157.268100,157.274300,-33.237700
157.274400,157.299600,-33.884100
157.299700,157.304300,-19.264800
157.304400,157.330900,30.298700
157.331000,157.334900,-1.484100
157.335000,157.353300,44.896900
157.353400,157.358800,-39.628400
157.358900,157.367600,-36.454500
157.367700,157.369400,-42.174300
157.369500,157.379400,-63.146400
157.379500,157.379400,-63.146400
157.379500,157.387400,-39.639400
157.387500,157.400700,-33.926600
157.400800,157.400700,-33.926600
157.400800,157.403700,-2.797700
157.403800,157.438800,-15.522700
157.438900,157.449500,39.092300
157.449600,157.456100,-32.679700
157.456200,157.474800,91.141700
157.474900,157.474800,91.141700
157.474900,157.476200,-6.017500
157.476300,157.479000,83.516500
157.479100,157.486200,-17.453100
157.486300,157.492200,-35.869800
157.492300,157.493300,-9.837400
157.493400,157.514100,88.554500
157.514200,157.519200,44.744300
157.519300,157.538700,-30.810600
157.538800,157.555700,54.865900
157.555800,157.583800,-42.887500
157.583900,157.625300,33.227300
157.625400,157.629400,-42.269600
157.629500,157.637100,-30.219500
157.637200,157.647400,99.178700
157.647500,157.650100,-31.493800
157.650200,157.654600,-57.502000
157.654700,157.696700,-46.733200
157.696800,157.715900,-38.497000
157.716000,157.740100,-26.461300
157.740200,157.758100,64.809300
157.758200,157.785100,42.599000
157.785200,157.790300,-22.048400
157.790400,157.852600,-16.377700
157.852700,157.854500,-34.116500
