lower_bound,upper_bound,correction
130.422100,141.512900,-10.255500
141.513000,143.739800,-33.908400
143.739900,144.193300,-4.988600
144.193400,144.987900,6.905500
144.988000,146.004900,-10.277000
146.005000,147.607700,84.272200
147.607800,148.357500,-23.158600
148.357600,149.194900,-55.092300
149.195000,149.216600,-36.334100
149.216700,149.536600,-28.445600
149.536700,150.211000,-39.418500
150.211100,150.255900,-30.119200
150.256000,150.562700,-41.552600
150.562800,150.645700,10.856100
150.645800,150.720100,-13.747400
150.720200,150.853000,-1.228400
150.853100,150.864600,96.202400
150.864700,150.948000,-36.401900
150.948100,150.954500,31.165300
150.954600,151.052700,-36.446000
151.052800,151.208800,-17.994200
151.208900,151.318900,-32.592700
151.319000,151.325600,3.089000
151.325700,151.325600,61.241700
151.325700,151.390100,10.311100
151.390200,151.423800,18.211300
151.423900,151.706700,-45.948300
151.706800,151.826000,24.484600
151.826100,151.837300,17.889400
151.837400,151.931700,-29.573600
151.931800,151.968900,-18.404400
151.969000,152.143700,-8.639000
152.143800,152.371800,60.790900
152.371900,152.550200,-35.103300
152.550300,152.671100,-3.059600
152.671200,152.691400,-14.206000
152.691500,152.839000,-41.114500
152.839100,152.910300,-41.796000
152.910400,153.087700,16.273200
153.087800,153.296500,76.781600
153.296600,153.475200,-5.522200
153.475300,153.741700,16.429100
153.741800,153.778200,-38.873000
153.778300,153.909600,-32.427800
153.909700,153.914900,-24.633700
153.915000,153.917900,17.595100
153.918000,153.939100,-3.208500
153.939200,154.066400,83.038000
154.066500,154.131400,-19.549200
154.131500,154.223900,67.289200
154.224000,154.240700,-35.814600
154.240800,154.245300,110.703300
154.245400,154.347100,-36.506700
154.347200,154.459400,-2.887100
154.459500,154.464800,56.670000
154.464900,154.483800,92.900400
154.483900,154.503900,-63.754900
154.504000,154.558500,8.696700
154.558600,154.700400,112.022800
154.700500,154.721400,-44.416200
154.721500,154.960800,-45.147400
154.960900,154.961700,-38.049200
154.961800,154.974300,-52.250100
154.974400,155.043600,-20.022500
155.043700,155.062900,1.894100
155.063000,155.140800,-20.072600
155.140900,155.252200,-27.859300
155.252300,155.276400,-35.598700
155.276500,155.286700,-31.095200
155.286800,155.356300,12.000600
155.356400,155.385400,212.770600
155.385500,155.406800,-14.418200
155.406900,155.501800,41.477500
155.501900,155.511900,38.253100
155.512000,155.534300,-20.917800
155.534400,155.547900,-21.567600
155.548000,155.550900,-18.354700
155.551000,155.569500,-11.293700
155.569600,155.571000,140.404700
155.571100,155.582500,122.390100
155.582600,155.597000,-9.381300
155.597100,155.625100,18.232900
155.625200,155.626200,-47.309700
155.626300,155.650100,23.996100
155.650200,155.651500,-37.038800
155.651600,155.656800,64.464400
155.656900,155.678900,-40.904000
155.679000,155.680600,-31.269500
155.680700,155.698100,109.379500
155.698200,155.699800,-30.635700
155.699900,155.714200,32.935900
155.714300,155.731800,30.352300
155.731900,155.772900,-12.693400
155.773000,155.773700,103.500300
155.773800,155.794100,-4.361000
155.794200,155.811700,-41.596200
155.811800,155.831900,-2.459000
155.832000,155.847700,-37.118100
155.847800,155.855400,101.468800
155.855500,155.869300,151.492800
155.869400,155.870800,126.469600
155.870900,155.876900,-14.676300
155.877000,155.896400,29.573200
155.896500,155.931000,-20.477700
155.931100,155.938300,-20.481400
155.938400,155.953900,1.312000
155.954000,155.979000,48.738000
155.979100,155.992700,-8.970100
155.992800,155.994000,59.621500
155.994100,156.009700,-16.671900
156.009800,156.010300,151.265500
156.010400,156.029700,-30.782400
156.029800,156.044800,40.344300
156.044900,156.059000,1.884600
156.059100,156.060500,-39.766900
156.060600,156.070000,-42.974300
156.070100,156.079300,112.071700
156.079400,156.083000,16.604700
156.083100,156.086600,11.476600
156.086700,156.101900,8.903200
156.102000,156.102500,-35.298900
156.102600,156.103200,-3.269100
156.103300,156.110300,134.449600
156.110400,156.127300,-8.408100
156.127400,156.140400,78.044900
156.140500,156.158700,104.279300
156.158800,156.161400,120.284900
156.161500,156.174100,-41.731700
156.174200,156.193800,113.196700
156.193900,156.216400,-34.706000
156.216500,156.224800,8.817500
156.224900,156.257600,-30.883400
156.257700,156.285400,-16.179000
156.285500,156.291500,-16.822100
156.291600,156.299800,129.047000
156.299900,156.308400,-41.142000
156.308500,156.335200,41.362900
156.335300,156.337200,-25.161700
156.337300,156.345200,116.188300
156.345300,156.354000,-39.880000
156.354100,156.361700,120.642200
156.361800,156.366400,-26.454800
156.366500,156.366500,-5.990100
156.366600,156.430800,-33.516900
156.430900,156.440400,-45.666200
156.440500,156.452400,2.906700
156.452500,156.475100,110.896200
156.475200,156.482700,-13.728500
156.482800,156.486800,112.797500
156.486900,156.497700,107.031700
156.497800,156.506300,-16.297300
156.506400,156.508400,121.074400
156.508500,156.523800,-29.723100
156.523900,156.543400,102.499800
156.543500,156.543700,-42.508100
156.543800,156.544200,134.438600
156.544300,156.549500,99.298000
156.549600,156.561000,-38.043300
156.561100,156.583000,-0.372400
156.583100,156.606900,128.597800
156.607000,156.609800,4.080300
156.609900,156.610900,104.966500
156.611000,156.619400,51.322200
156.619500,156.647300,-31.693700
156.647400,156.662500,-2.976200
156.662600,156.664900,111.279000
156.665000,156.678800,2.119700
156.678900,156.706800,15.502300
156.706900,156.715000,-35.551800
156.715100,156.717700,4.008700
156.717800,156.724700,100.351300
156.724800,156.731200,46.748000
156.731300,156.773500,-36.213700
156.773600,156.783300,33.942900
156.783400,156.800900,-31.760600
156.801000,156.830200,102.129500
156.830300,156.881400,-8.210900
156.881500,156.939900,-41.378800
156.940000,156.948000,120.455100
156.948100,156.952700,-39.472200
156.952800,156.991100,49.690000
156.991200,157.022500,-35.041100
157.022600,157.045600,-16.584700
157.045700,157.045600,138.147400
157.045700,157.052800,-35.690400
157.052900,157.057700,-12.134200
157.057800,157.067800,99.913700
157.067900,157.073700,177.576700
157.073800,157.093200,131.073000
157.093300,157.106300,178.792100
157.106400,157.111600,22.842600
157.111700,157.120400,84.571900
157.120500,157.129400,-21.084200
157.129500,157.130100,122.108900
157.130200,157.156000,102.983100
157.156100,157.174600,15.158600
157.174700,157.207200,17.043000
157.207300,157.229100,-12.866000
157.229200,157.257700,-29.415200
157.257800,157.275700,132.076600
157.275800,157.292200,-28.795000
157.292300,157.302700,210.865700
157.302800,157.317400,-21.178400
157.317500,157.349800,-56.784200
157.349900,157.363700,-44.078600
157.363800,157.367300,-28.828900
157.367400,157.372900,-38.998400
157.373000,157.378100,20.728400
157.378200,157.386300,-39.003600
157.386400,157.393100,225.935500
157.393200,157.419400,53.094200
157.419500,157.425400,-40.289200
157.425500,157.450500,216.289900
157.450600,157.465100,151.484200
157.465200,157.473000,173.697800
157.473100,157.477600,157.179500
157.477700,157.482600,179.395900
157.482700,157.489300,96.838700
157.489400,157.492700,162.869300
157.492800,157.495900,200.325400
157.496000,157.501700,-28.254800
157.501800,157.503600,195.231300
157.503700,157.519300,157.111300
157.519400,157.520500,155.839700
157.520600,157.530400,207.877100
157.530500,157.555600,-35.260900
157.555700,157.560100,164.660900
157.560200,157.565400,26.296700
157.565500,157.567400,200.189000
157.567500,157.568500,170.358600
157.568600,157.573100,28.194500
157.573200,157.574900,207.790100
157.575000,157.577900,151.304300
157.578000,157.585500,-35.907800
157.585600,157.593000,158.894700
157.593100,157.593700,174.122600
157.593800,157.597800,164.597700
157.597900,157.604600,152.530700
157.604700,157.610100,216.604000
157.610200,157.616000,163.298200
157.616100,157.618000,181.059300
157.618100,157.622700,210.234400
157.622800,157.628800,110.621400
157.628900,157.629100,163.910700
157.629200,157.630600,-32.754200
157.630700,157.632900,154.388500
157.633000,157.633600,170.247000
157.633700,157.639900,156.280200
157.640000,157.643600,204.484300
157.643700,157.645000,190.526200
157.645100,157.651300,187.343100
157.651400,157.652500,-30.860600
157.652600,157.654700,173.382200
157.654800,157.657400,150.543300
157.657500,157.658400,163.227300
157.658500,157.658900,163.226400
157.659000,157.660200,186.058300
157.660300,157.660800,170.834500
157.660900,157.661200,6.557600
157.661300,157.662900,180.979300
157.663000,157.664400,170.828300
157.664500,157.667200,202.535900
157.667300,157.668200,203.168300
157.668300,157.671500,187.306200
157.671600,157.683800,163.185000
157.683900,157.684800,168.890900
157.684900,157.685500,172.060500
157.685600,157.686500,188.547100
157.686600,157.693000,187.267000
157.693100,157.695400,-25.806300
157.695500,157.697000,165.065300
157.697100,157.697500,164.430400
157.697600,157.700000,161.889700
157.700100,157.704400,172.027900
157.704500,157.707400,167.584100
157.707500,157.711700,114.315100
157.711800,157.713900,150.453400
157.714000,157.715000,164.401000
157.715100,157.717400,224.631400
157.717500,157.718600,155.518400
157.718700,157.720800,187.216400
157.720900,157.722100,199.894700
157.722200,157.723800,227.788300
157.723900,157.727800,153.601500
157.727900,157.728000,152.967100
157.728100,157.731000,163.106200
157.731100,157.736100,150.418300
157.736200,157.738300,185.916700
157.738400,157.740200,-39.140400
157.740300,157.741600,194.785900
157.741700,157.744600,173.860400
157.744700,157.745000,169.422100
157.745100,157.746100,180.830900
157.746200,157.753700,152.925900
157.753800,157.763900,187.137900
157.764000,157.768500,164.311300
157.768600,157.770600,173.815300
157.770700,157.772400,218.179900
157.772500,157.774600,166.202500
157.774700,157.776100,185.848100
157.776200,157.779800,189.644100
157.779900,157.782500,217.525700
157.782600,157.782600,153.513300
157.782700,157.783700,163.018300
157.783800,157.784300,-23.313000
157.784400,157.797100,190.246200
157.797200,157.800100,173.130400
157.800200,157.800100,173.130400
157.800200,157.802700,180.730400
157.802800,157.807900,194.662000
157.808000,157.812000,221.268300
157.812100,157.814700,160.432100
157.814800,157.818000,232.661800
157.818100,157.820100,175.630200
157.820200,157.821500,173.093400
157.821600,157.826400,153.443000
157.826500,157.834600,168.635600
157.834700,157.836600,161.029500
157.836700,157.837100,221.217200
157.837200,157.845500,110.332300
157.845600,157.847100,131.870000
157.847200,157.864100,2.619900
157.864200,157.864700,-6.882300
157.864800,157.880500,162.857000
157.880600,157.881800,-6.892400
157.881900,157.886900,165.379900
157.887000,157.891800,-17.665200
157.891900,157.894900,200.833100
157.895000,157.901400,199.553900
157.901500,157.901600,170.421500
157.901700,157.901900,168.521200
157.902000,157.919600,170.390800
157.919700,157.923200,182.415700
157.923300,157.923800,151.387100
157.923900,157.932600,153.272600
157.932700,157.936500,160.864400
157.936600,157.939600,112.106400
157.939700,157.940800,215.941100
157.940900,157.944200,155.786500
157.944300,157.944500,-34.154100
157.944600,157.950500,102.595100
157.950600,157.966200,160.182300
157.966300,157.971500,194.356900
157.971600,157.973100,194.987000
157.973200,157.980400,160.791900
157.980500,157.984600,160.151900
157.984700,157.994600,150.641500
157.994700,157.996500,217.728600
157.996600,158.003100,189.234900
158.003200,158.012800,22.142000
158.012900,158.023300,173.377300
158.023400,158.026200,203.114300
158.026300,158.028700,202.476700
158.028800,158.029300,175.265400
158.029400,158.031600,112.615700
158.031700,158.042300,151.198600
158.042400,158.047600,-12.051800
158.047700,158.058000,70.190600
158.058100,158.065400,-11.429100
158.065500,158.071100,202.395500
158.071200,158.073000,160.006500
158.073100,158.076100,13.236600
158.076200,158.078100,151.141600
158.078200,158.078700,182.137900
158.078800,158.083100,144.808000
158.083200,158.097000,68.883700
158.097100,158.098000,175.778300
158.098100,158.098700,136.561000
158.098800,158.104700,130.859700
158.104800,158.118000,192.819300
158.118100,158.121000,140.322300
158.121100,158.123000,21.424400
158.123100,158.126700,190.273600
158.126800,158.142000,-39.295000
158.142100,158.161600,-2.631300
158.161700,158.164800,129.507400
158.164900,158.170400,-40.570400
158.170500,158.190600,85.851700
158.190700,158.192100,13.153600
158.192200,158.194300,-45.004400
158.194400,158.221900,18.820500
158.222000,158.234700,119.926500
158.234800,158.241300,68.729600
158.241400,158.253800,161.605200
158.253900,158.255600,200.147400
158.255700,158.258000,222.258600
158.258100,158.275900,21.939000
158.276000,158.288300,-14.080800
158.288400,158.297600,175.430600
158.297700,158.303300,109.724000
158.303400,158.310900,131.822400
158.311000,158.335900,231.573500
158.336000,158.368200,147.524500
158.368300,158.373700,186.032300
158.373800,158.379400,198.018600
158.379500,158.387200,221.364400
158.387300,158.388800,-32.444700
158.388900,158.390600,7.961000
158.390700,158.399500,170.202900
158.399600,158.437300,147.416400
158.437400,158.442600,-33.730000
158.442700,158.452600,120.255100
158.452700,158.463900,199.752900
158.464000,158.471900,-16.073400
158.472000,158.478300,171.961600
158.478400,158.478300,171.961600
158.478400,158.501200,120.818600
158.501300,158.513300,153.606400
158.513400,158.522600,187.025400
158.522700,158.528900,128.980300
158.529000,158.529100,-5.380200
158.529200,158.551300,160.483500
158.551400,158.553100,144.082300
158.553200,158.572700,60.178900
158.572800,158.598700,38.084400
158.598800,158.610500,163.538700
158.610600,158.614300,-37.584400
158.614400,158.624200,98.582500
158.624300,158.635600,120.001000
158.635700,158.654200,-36.339600
158.654300,158.656900,169.764500
158.657000,158.662800,38.658900
158.662900,158.667500,63.234500
158.667600,158.680000,-16.813700
158.680100,158.697400,157.723200
158.697500,158.756300,108.495700
158.756400,158.762400,19.675700
158.762500,158.778500,179.634800
158.778600,158.818700,152.489100
158.818800,158.840600,143.640600
158.840700,158.847300,117.189700
158.847400,158.850100,-9.348500
158.850200,158.853800,15.829800
158.853900,158.860800,48.557700
158.860900,158.897300,112.086700
158.897400,158.899500,159.283400
158.899600,158.905000,108.929900
158.905100,158.912800,-16.306300
158.912900,158.913900,161.777000
158.914000,158.924800,166.792900
158.924900,158.931100,108.266400
158.931200,158.974000,161.678100
158.974100,158.995000,-20.752200
158.995100,158.996000,223.278500
158.996100,159.001500,129.557600
159.001600,159.034400,152.775500
159.034500,159.046700,129.492400
159.046800,159.054300,143.313200
159.054400,159.078300,-46.567200
159.078400,159.107100,14.388400
159.107200,159.138100,161.408200
159.138200,159.195800,0.505200
159.195900,159.197300,-42.210100
159.197400,159.215400,131.133500
159.215500,159.216300,150.602500
159.216400,159.242200,110.999300
159.242300,159.254400,79.586900
159.254500,159.256100,149.284000
159.256200,159.257000,15.536500
159.257100,159.259900,-20.884000
159.260000,159.269100,145.496400
159.269200,159.288000,173.718100
159.288100,159.289100,172.460600
159.289200,159.290700,145.463100
159.290800,159.311100,186.860100
159.311200,159.315500,188.735200
159.315600,159.329200,118.415600
159.329300,159.334000,188.701700
159.334100,159.357700,-10.892300
159.357800,159.373600,112.080300
159.373700,159.381700,195.517000
159.381800,159.383000,218.101700
159.383100,159.399400,186.701200
159.399500,159.413300,98.854100
159.413400,159.416800,98.849800
159.416900,159.427200,-41.666200
159.427300,159.430600,111.377200
159.430700,159.447600,42.993700
159.447700,159.452200,162.147500
159.452300,159.459500,162.762600
159.459600,159.482000,155.828200
159.482100,159.484000,155.825000
159.484100,159.485200,217.897900
159.485300,159.501400,150.154600
