lower_bound,upper_bound,correction
1.000000,161.556400,-40.578000
161.556500,162.354200,-37.790300
162.354300,162.374500,-37.798100
162.374600,162.500400,2.769000
162.500500,163.185500,-30.753600
163.185600,163.239400,-26.488300
163.239500,163.709300,3.231800
163.709400,163.821300,-29.801600
163.821400,163.836800,28.786700
163.836900,163.856600,-34.088700
163.856700,163.876300,-4.806300
163.876400,163.920200,-21.303200
163.920300,163.933100,28.711000
163.933200,163.949600,-35.346000
163.949700,163.958000,25.032000
163.958100,163.964200,-41.450600
163.964300,163.966100,-14.006600
163.966200,164.012900,-12.811700
164.013000,164.030300,-40.254900
164.030400,164.037700,26.800100
164.037800,164.038900,-40.258100
164.039000,164.087000,-44.541600
164.087100,164.098500,-39.670400
164.098600,164.114500,70.003200
164.114600,164.120400,-32.366700
164.120500,164.147800,-36.642500
164.147900,164.153700,-47.000900
164.153800,164.163400,21.829900
164.163500,164.164400,-33.603100
164.164500,164.170400,-27.514300
164.170500,164.173100,51.060100
164.173200,164.175800,-5.589000
164.175900,164.176300,5.983600
164.176400,164.177400,-43.963000
164.177500,164.181800,-25.083100
164.181900,164.184300,-29.347700
164.184400,164.186300,38.866600
164.186400,164.187700,-33.612600
164.187800,164.190200,-11.078700
164.190300,164.190300,66.270500
164.190400,164.190600,13.283000
164.190700,164.192700,-29.960300
164.192800,164.196300,-16.563300
164.196400,164.201000,-15.956700
164.201100,164.201500,-33.618200
164.201600,164.202100,-39.099500
164.202200,164.206400,0.483300
164.206500,164.216000,-50.065800
164.216100,164.219200,-47.631000
164.219300,164.222700,-41.542800
164.222800,164.223300,91.203100
164.223400,164.229200,41.874900
164.229300,164.229700,52.225800
164.229800,164.232300,-24.497200
164.232400,164.235400,18.732000
164.235500,164.236400,-3.188300
164.236500,164.236600,-36.067800
164.236700,164.237600,-34.241600
164.237700,164.238100,-14.149000
164.238200,164.238600,-31.806500
164.238700,164.240700,-43.984600
164.240800,164.243000,-32.417200
164.243100,164.243700,-5.628000
164.243800,164.247300,5.937800
164.247400,164.249400,-17.807900
164.249500,164.250100,-8.067000
164.250200,164.250900,-50.076400
164.251000,164.250900,-33.029300
164.251000,164.251300,66.208700
