lower_bound,upper_bound,correction
1.000000,160.530500,-43.313000
160.530600,160.724600,-30.315600
160.724700,160.742100,-30.323100
160.742200,160.951100,-14.881000
160.951200,162.174800,-51.287100
162.174900,162.543900,-15.099800
162.544000,163.360100,-46.743400
163.360200,163.429100,26.660400
163.429200,163.453500,40.712800
163.453600,163.453800,-25.972900
163.453900,163.465300,-49.836400
163.465400,163.471700,-44.332900
163.471800,163.496000,-38.836400
163.496100,163.499000,-0.916900
163.499100,163.499600,-36.391300
163.499700,163.518000,-18.051800
163.518100,163.520600,-18.053100
163.520700,163.526300,-5.214000
163.526400,163.541600,-53.528600
163.541700,163.545500,-33.351900
163.545600,163.551400,-10.120000
163.551500,163.553600,-40.080800
163.553700,163.554100,-13.790000
163.554200,163.559300,-35.191700
163.559400,163.567600,-0.958400
163.567700,163.573000,-40.699300
163.573100,163.577000,-36.421400
163.577100,163.578100,22.265700
163.578200,163.581600,-35.200500
163.581700,163.583900,3.310900
163.584000,163.589300,5.752600
163.589400,163.596700,-32.761500
163.596800,163.597300,54.648000
163.597400,163.603400,-36.431600
163.603500,163.610800,-34.600900
163.610900,163.615800,24.071100
163.615900,163.622100,-19.326300
163.622200,163.622200,-49.884600
163.622300,163.622400,-43.161800
163.622500,163.623300,-24.216200
163.623400,163.635700,-24.221900
163.635800,163.640800,-19.335500
163.640900,163.640900,-22.391000
163.641000,163.652000,13.655800
163.652100,163.659100,-36.453300
163.659200,163.659200,-31.565100
163.659300,163.660900,-38.898000
163.661000,163.661600,-4.681400
163.661700,163.662800,-36.454700
163.662900,163.664800,-18.736300
163.664900,163.665400,-24.235700
163.665500,163.668600,-57.230700
163.668700,163.670200,-18.739000
163.670300,163.673200,-7.132000
163.673300,163.673500,-38.291800
163.673600,163.676000,-34.627000
163.676100,163.679500,-46.847300
163.679600,163.684400,82.057600
163.684500,163.685900,28.905400
163.686000,163.693800,-53.571800
163.693900,163.695400,-10.199000
163.695500,163.696200,-33.413200
163.696300,163.701600,5.069200
163.701700,163.701900,-32.193800
163.702000,163.707200,-40.137000
163.707300,163.714400,54.537400
163.714500,163.715300,12.390200
163.715400,163.716000,2.005900
163.716100,163.722200,-35.256200
163.722300,163.722400,-31.591500
163.722500,163.733100,-31.596000
163.733200,163.737900,-26.101400
163.738000,163.741300,-16.331400
163.741400,163.742200,67.336200
163.742300,163.750700,-26.717900
163.750800,163.753400,14.806800
163.753500,163.754200,-41.375600
163.754300,163.757000,40.452000
163.757100,163.757500,-28.552900
163.757600,163.758700,6.253900
163.758800,163.760700,5.642000
163.760800,163.764500,1.975700
163.764600,163.765800,-16.344000
