lower_bound,upper_bound,correction
1.000000,153.449000,35.549900
153.449100,155.636900,-29.965200
155.637000,156.377600,22.779700
156.377700,156.702900,-34.270500
156.703000,156.703400,12.314100
156.703500,156.764200,-31.106700
156.764300,156.926800,-42.648400
156.926900,157.002600,-2.549400
157.002700,157.058400,-31.872500
157.058500,157.188600,12.603600
157.188700,157.188900,46.956900
157.189000,157.266000,8.097100
157.266100,157.299300,-46.598600
157.299400,157.456600,-4.735700
157.456700,157.473100,16.210300
157.473200,157.536100,-45.409300
157.536200,157.552400,72.640900
157.552500,157.622800,-37.826300
157.622900,157.708700,-39.762300
157.708800,157.866600,82.432600
157.866700,158.218800,-20.363400
158.218900,158.372800,-34.332100
158.372900,158.408000,3.530100
158.408100,158.435600,-14.791900
158.435700,158.443000,-36.885800
158.443100,158.459200,8.545300
158.459300,158.476500,94.350600
158.476600,158.533300,2.817500
158.533400,158.558500,21.090900
158.558600,158.570100,-33.783200
158.570200,158.658800,-9.869500
158.658900,158.667800,7.142100
158.667900,158.682300,-32.569700
158.682400,158.736000,-38.262300
158.736100,158.751900,-10.552200
158.752000,158.811400,64.345900
158.811500,158.838900,23.395500
158.839000,158.845500,-32.638900
158.845600,158.852300,-36.418900
158.852400,158.860000,-42.087400
158.860100,158.878200,3.223700
158.878300,158.884300,-30.767200
158.884400,158.917600,42.212100
158.917700,158.924200,-4.986100
158.924300,158.987600,95.612800
158.987700,159.005100,-39.624600
159.005200,159.006200,70.433600
159.006300,159.008100,-15.727600
159.008200,159.031700,28.276300
159.031800,159.047900,-41.527000
159.048000,159.085200,-15.768400
159.085300,159.087700,-32.112900
159.087800,159.112700,-13.269000
159.112800,159.126100,-14.533200
159.126200,159.137300,31.961500
159.137400,159.144400,-12.657900
159.144500,159.194500,-44.093600
159.194600,159.212100,54.510900
159.212200,159.254800,-27.788700
159.254900,159.259100,2.976900
159.259200,159.268900,-20.260600
159.269000,159.277000,-37.216300
159.277100,159.281300,38.748200
159.281400,159.290000,-46.010400
159.290100,159.294400,-37.850900
159.294500,159.295400,28.691700
159.295500,159.297700,46.894800
159.297800,159.307900,80.782000
159.308000,159.309000,71.365100
159.309100,159.319600,-9.615600
159.319700,159.347900,-10.259200
159.348000,159.357800,-54.191100
159.357900,159.378400,-42.903200
159.378500,159.401300,80.676000
159.401400,159.414200,-0.259800
159.414300,159.424600,-40.410700
159.424700,159.426200,66.221100
159.426300,159.427200,-35.393700
159.427300,159.432100,95.694600
159.432200,159.446700,39.231500
159.446800,159.448000,13.516700
159.448100,159.453100,-37.285600
159.453200,159.461500,-46.695600
159.461600,159.511700,-7.216800
159.511800,159.516900,-31.668700
159.517000,159.523800,-19.761200
159.523900,159.534600,-29.169000
159.534700,159.544200,-29.800000
159.544300,159.547100,-34.815500
159.547200,159.555600,-42.339800
159.555700,159.568100,-31.063900
159.568200,159.575600,-37.333800
159.575700,159.581200,-37.336000
159.581300,159.606800,12.150600
159.606900,159.618800,37.201800
159.618900,159.620900,-1.015400
159.621000,159.621200,39.705700
159.621300,159.642300,3.982500
159.642400,159.652800,-21.078700
159.652900,159.655200,-10.432000
159.655300,159.666500,3.340400
159.666600,159.671800,-24.219500
159.671900,159.679700,-6.688200
159.679800,159.685100,9.590700
159.685200,159.691100,-27.359800
159.691200,159.741600,55.250700
159.741700,159.742700,-44.911400
159.742800,159.758800,-28.642400
159.758900,159.776200,-28.650200
159.776300,159.776200,-27.398500
159.776300,159.783300,38.938200
159.783400,159.799000,-11.138400
159.799100,159.808900,-36.799500
159.809000,159.810900,73.329900
159.811000,159.858600,-33.691400
159.858700,159.859600,11.973300
159.859700,159.878700,58.870400
159.878800,159.887000,-38.706700
159.887100,159.887700,38.222100
159.887800,159.893100,30.086900
159.893200,159.896700,32.585600
159.896800,159.927100,-32.469200
159.927200,159.928600,-43.099600
159.928700,159.933400,-19.341400
159.933500,159.947700,15.662800
159.947800,159.951800,-36.856000
159.951900,159.970200,38.775800
159.970300,160.000400,8.749700
160.000500,160.015500,-9.383800
160.015600,160.022700,8.109700
160.022800,160.037000,53.714400
160.037100,160.060600,13.082200
160.060700,160.067800,-25.656500
160.067900,160.074300,-38.778400
160.074400,160.076200,-43.776800
160.076300,160.084600,-31.911000
160.084700,160.099100,-41.911000
160.099200,160.125200,-31.928300
160.125300,160.126800,-22.561400
160.126900,160.132900,-21.939800
160.133000,160.148100,-47.548500
160.148200,160.155200,-35.687400
160.155300,160.156600,95.433700
160.156700,160.156700,-42.556300
160.156800,160.177400,-23.834400
160.177500,160.199800,-49.438200
160.199900,160.206300,-24.472400
160.206400,160.206300,-46.319200
160.206400,160.211600,-71.288000
160.211700,160.222900,-35.714600
160.223000,160.223800,-11.998100
160.223900,160.232700,82.859100
160.232800,160.238900,-11.382300
160.239000,160.257700,-37.600500
160.257800,160.257800,-10.768800
160.257900,160.282700,1.695300
160.282800,160.294800,-46.972700
160.294900,160.314800,-38.246500
160.314900,160.316200,-10.801300
160.316300,160.332400,73.389700
160.332500,160.336200,73.385700
160.336300,160.375500,21.589700
160.375600,160.399700,10.349300
160.399800,160.417700,-7.117500
160.417800,160.427900,-40.160000
160.428000,160.430900,17.184400
160.431000,160.432100,-13.359000
160.432200,160.437300,4.713800
160.437400,160.483400,-14.632900
160.483500,160.495600,28.352500
160.495700,160.510200,5.912200
160.510300,160.514300,40.174400
160.514400,160.518800,-19.635600
160.518900,160.523800,-42.687600
160.523900,160.539900,-40.201800
160.540000,160.543100,-1.584000
160.543200,160.571300,-36.476800
160.571400,160.579200,-44.575600
160.579300,160.585400,66.266700
160.585500,160.588700,-2.234700
160.588800,160.608700,17.677300
160.608800,160.615100,2.107500
160.615200,160.622800,10.196000
160.622900,160.639600,-43.974000
160.639700,160.644400,70.563000
160.644500,160.654300,-47.091300
160.654400,160.655000,-40.867100
160.655100,160.668600,-54.564900
160.668700,160.671800,-40.250900
160.671900,160.673800,5.804400
160.673900,160.683600,-39.010600
160.683700,160.688000,-24.698800
160.688100,160.694400,58.064000
160.694500,160.695500,-41.504300
160.695600,160.730600,1.411900
160.730700,160.738600,46.200100
160.738700,160.753100,-32.194200
160.753200,160.765700,-11.050700
160.765800,160.801600,-50.249200
160.801700,160.843900,-34.719300
160.844000,160.855100,-8.613400
160.855200,160.860400,11.898300
160.860500,160.867000,43.596900
160.867100,160.867800,-35.972300
160.867900,160.875100,-16.084000
160.875200,160.886300,85.223900
160.886400,160.887700,-22.927600
160.887800,160.889500,39.847500
160.889600,160.891600,-12.984900
160.891700,160.900700,-28.527300
160.900800,160.901500,-2.424800
160.901600,160.914200,-3.675400
160.914300,160.914900,-16.104700
160.915000,160.923400,22.418500
160.923500,160.936000,-45.941200
160.936100,160.954200,-35.385400
160.954300,160.957800,-10.535600
160.957900,160.976500,-32.909500
160.976600,160.983500,-29.185300
160.983600,160.997500,4.349400
160.997600,161.003300,-36.026200
161.003400,161.003800,59.002500
161.003900,161.036500,-28.587600
161.036600,161.039700,-45.355100
161.039800,161.039800,0.596200
161.039900,161.040700,-2.509100
161.040800,161.083900,-41.024500
161.084000,161.086600,-37.300800
161.086700,161.112500,7.378400
161.112600,161.117600,-39.795500
161.117700,161.118200,-1.314700
161.118300,161.122600,-14.971600
161.122700,161.125400,27.230100
161.125500,161.140100,-47.871400
161.140200,161.158600,-19.954600
161.158700,161.161100,-21.196900
161.161200,161.172400,-2.588800
161.172500,161.173600,-29.268800
161.173700,161.177800,24.707000
161.177900,161.193300,0.500400
161.193400,161.201600,-28.040400
161.201700,161.209400,-42.931400
161.209500,161.213100,-40.451500
161.213200,161.216000,-15.020800
161.216100,161.219000,-31.149600
161.219100,161.224100,-47.898600
161.224200,161.234200,-29.295400
161.234300,161.252800,-5.738000
161.252900,161.253200,6.664600
161.253300,161.262000,-16.905400
161.262100,161.264300,-40.470400
161.264400,161.276700,-37.994800
161.276800,161.289800,57.480500
161.289900,161.305500,-36.765900
161.305600,161.314500,65.515200
161.314600,161.314800,-42.348800
161.314900,161.317100,-45.449100
161.317200,161.325100,31.411700
161.325200,161.333800,15.908700
161.333900,161.334300,-39.876400
161.334400,161.337500,-38.018100
161.337600,161.346400,-11.990600
161.346500,161.357200,-35.546700
161.357300,161.370900,-12.003900
161.371000,161.393800,-16.353600
161.393900,161.409100,51.788200
161.409200,161.409300,8.420000
161.409400,161.415300,-13.886700
161.415400,161.417500,-28.756200
161.417600,161.424300,-36.812500
161.424400,161.439500,-11.421900
161.439600,161.440200,-40.535300
161.440300,161.445700,-25.052200
161.445800,161.457800,-34.967500
161.457900,161.458300,-45.496800
161.458400,161.462400,-5.241100
161.462500,161.491000,-18.880900
161.491100,161.504900,-25.698900
161.505000,161.512700,-0.936600
161.512800,161.513500,-43.038800
161.513600,161.515200,-17.035700
161.515300,161.518600,-46.755400
161.518700,161.539200,-12.714700
161.539300,161.547600,-35.622700
161.547700,161.549300,-39.337400
161.549400,161.555200,-61.623000
161.555300,161.556000,45.460400
161.556100,161.576200,-36.253000
161.576300,161.577000,8.926400
161.577100,161.577200,14.496300
161.577300,161.581900,5.828700
161.582000,161.614600,-17.705400
161.614700,161.642200,-22.050100
161.642300,161.648000,15.064800
161.648100,161.651200,-17.724100
161.651300,161.682700,-33.202500
161.682800,161.686000,4.523600
161.686100,161.686200,-40.007300
161.686300,161.688700,65.750600
161.688800,161.690200,-15.270100
161.690300,161.725100,8.208300
161.725200,161.729300,-57.954400
161.729400,161.753500,-42.505100
161.753600,161.756400,45.898400
161.756500,161.775700,-41.894800
161.775800,161.778800,-19.025200
161.778900,161.791600,-15.323200
161.791700,161.796800,-6.673000
161.796900,161.800000,-47.466000
161.800100,161.810900,-28.311400
161.811000,161.816700,-41.291600
161.816800,161.822500,6.289300
161.822600,161.822600,-41.911700
161.822700,161.830600,-33.263500
161.830700,161.836400,76.721700
161.836500,161.840100,20.489300
161.840200,161.845500,6.274200
161.845600,161.847200,-49.952800
161.847300,161.864400,-40.073300
161.864500,161.871500,-35.133700
161.871600,161.873500,-14.130500
161.873600,161.876400,-16.603100
161.876500,161.877800,-35.754000
161.877900,161.887800,-40.082000
161.887900,161.893200,10.566700
161.893300,161.898900,26.622200
161.899000,161.903400,90.854500
161.903500,161.925400,-17.245800
161.925500,161.937600,72.288500
161.937700,161.943100,-25.899900
161.943200,161.953900,20.404700
161.954000,161.970700,-44.434400
161.970800,161.979300,-12.334500
161.979400,161.984000,-4.311500
161.984100,161.992000,-40.737800
161.992100,161.992400,-31.478300
161.992500,162.001700,-4.322000
162.001800,162.001900,60.491900
162.002000,162.012000,8.633900
162.012100,162.025800,-22.851800
162.025900,162.032000,68.485300
162.032100,162.033800,-37.667300
162.033900,162.066800,-43.850300
162.066900,162.069600,-40.766200
162.069700,162.094000,-23.501200
162.094100,162.103000,-1.914200
162.103100,162.104000,-17.953900
162.104100,162.104900,51.136700
162.105000,162.116700,35.704700
162.116800,162.120100,-25.980800
162.120200,162.135100,6.084400
162.135200,162.141600,8.547100
162.141700,162.144700,10.395200
162.144800,162.158600,-34.015200
162.158700,162.158600,6.069000
162.158700,162.158900,60.336600
162.159000,162.162300,65.266500
162.162400,162.177400,-45.738400
162.177500,162.179700,12.221200
162.179800,162.188000,-25.395200
162.188100,162.195400,4.811900
162.195500,162.197500,-24.783100
162.197600,162.205500,-14.922700
162.205600,162.209200,-5.060900
162.209300,162.213000,-3.213600
162.213100,162.213400,-31.571600
162.213500,162.215900,6.031500
162.216000,162.219100,-34.656300
162.219200,162.223400,65.820700
162.223500,162.224800,-41.439300
162.224900,162.238200,55.943500
162.238300,162.264900,70.708500
162.265000,162.290400,-33.452600
162.290500,162.296900,76.220300
162.297000,162.310800,-35.309300
162.310900,162.319800,19.517200
162.319900,162.331300,-29.773300
162.331400,162.331700,-32.237500
162.331800,162.339100,-29.776600
162.339200,162.340100,-31.625000
162.340200,162.342800,-16.842600
162.342900,162.344900,-8.220100
162.345000,162.350200,-0.215700
162.350300,162.355400,-45.797900
162.355500,162.361700,5.936300
162.361800,162.374000,21.940700
162.374100,162.404900,-10.101200
162.405000,162.418600,-34.736600
162.418700,162.421600,-38.431800
162.421700,162.422500,12.053400
162.422600,162.434200,-29.817700
162.434300,162.442300,14.502200
162.442400,162.465100,-40.294900
162.465200,162.495100,53.850800
162.495200,162.505200,-30.463800
162.505300,162.508700,-29.849900
162.508800,162.517500,-11.394200
162.517600,162.521600,-51.391100
162.521700,162.537900,-55.087400
162.538000,162.549200,-4.029100
162.549300,162.550500,-39.095900
162.550600,162.556600,27.340200
162.556700,162.579500,21.786600
162.579600,162.584700,18.707300
162.584800,162.585100,-62.481200
162.585200,162.589600,-31.114900
162.589700,162.593100,-37.266700
162.593200,162.600500,-18.819400
162.600600,162.601500,-37.885000
162.601600,162.603100,-19.435700
162.603200,162.609600,-32.968300
162.609700,162.616000,50.046800
162.616100,162.621900,-2.227200
162.622000,162.632800,-49.579700
162.632900,162.634400,-32.363600
162.634500,162.635400,-8.998900
162.635500,162.652400,-46.511700
162.652500,162.654300,-18.846300
162.654400,162.655600,-13.928600
162.655700,162.658100,45.704400
162.658200,162.666400,66.598600
162.666500,162.667900,-25.615300
162.668000,162.683100,-3.493300
162.683200,162.693600,-15.792600
162.693700,162.700300,-25.630100
162.700400,162.720100,-36.701100
162.720200,162.723600,83.747200
162.723700,162.724200,4.471300
162.724300,162.732100,-49.610400
162.732200,162.738300,18.595300
162.738400,162.743100,-44.083600
162.743200,162.743300,8.145800
162.743400,162.745700,-12.747300
162.745800,162.750500,-28.110800
162.750600,162.768100,-14.602400
162.768200,162.778100,-26.280000
162.778200,162.784700,44.976800
162.784800,162.786000,-33.040900
162.786100,162.787300,-47.784600
162.787400,162.787300,-10.312400
162.787400,162.788000,-36.113200
162.788100,162.788400,-4.170100
162.788500,162.791600,-51.471700
162.791700,162.801400,39.433700
162.801500,162.804200,-5.407900
162.804300,162.813400,0.114600
162.813500,162.816500,-14.627800
162.816600,162.831500,-25.690100
162.831600,162.834000,-22.620600
162.834100,162.840100,-25.694000
162.840200,162.846600,-9.116900
162.846700,162.860200,-14.650700
162.860300,162.873400,-29.393000
162.873500,162.884700,-16.505300
162.884800,162.887200,61.461400
162.887300,162.895800,16.639000
162.895900,162.905100,-34.317600
162.905200,162.907400,-19.586200
162.907500,162.908000,-23.269600
162.908100,162.911600,0.668100
162.911700,162.915600,64.502300
162.915700,162.918000,-15.294800
162.918100,162.922200,-41.689900
162.922300,162.952700,23.348700
162.952800,162.955500,-41.701900
162.955600,162.962000,-1.204000
162.962100,162.962100,-38.022400
162.962200,162.965400,38.066100
162.965500,162.973100,-30.049800
162.973200,162.977600,42.350800
162.977700,162.991100,49.701400
162.991200,162.992500,-23.922900
162.992600,163.013900,86.487200
163.014000,163.015600,20.233900
163.015700,163.022100,74.209500
163.022200,163.023600,30.655900
163.023700,163.031500,47.210800
163.031600,163.033500,-16.581500
163.033600,163.034900,-34.369900
163.035000,163.041100,-49.092600
163.041200,163.042000,34.321200
163.042100,163.052100,-32.536900
163.052200,163.064800,46.567500
163.064900,163.065300,-31.315800
163.065400,163.067500,-38.675700
163.067600,163.073300,39.201200
163.073400,163.086700,23.860500
163.086800,163.093200,-33.780200
163.093300,163.103300,16.490600
163.103400,163.115600,37.939000
163.115700,163.120700,-31.952200
163.120800,163.124100,-3.754300
163.124200,163.126200,-23.985200
163.126300,163.137500,25.047900
163.137600,163.142100,-38.703700
163.142200,163.148400,-33.802600
163.148500,163.171400,-62.003200
163.171500,163.198100,-34.435500
163.198200,163.198500,-16.665900
163.198600,163.200600,-17.279700
163.200700,163.204500,-16.669000
163.204600,163.214200,89.934500
163.214300,163.229200,-19.744800
163.229300,163.233900,-33.224700
163.234000,163.238000,-36.289300
163.238100,163.238700,-42.415600
163.238800,163.249100,-28.942900
163.249200,163.250400,-25.268200
163.250500,163.260600,39.041500
163.260700,163.277300,-24.055600
163.277400,163.283600,-68.766000
163.283700,163.288000,-41.820600
163.288100,163.291300,35.953300
163.291400,163.295700,7.167500
163.295800,163.317300,66.546900
163.317400,163.332000,37.756200
163.332100,163.342700,-41.227900
163.342800,163.371600,-30.220500
163.371700,163.388000,-46.752500
163.388100,163.390500,-24.108200
163.390600,163.394100,61.572600
163.394200,163.396400,60.958300
163.396500,163.403100,48.712000
163.403200,163.409000,-36.968000
163.409100,163.416200,-29.015600
163.416300,163.420500,29.114800
163.420600,163.421200,-29.017800
163.421300,163.424500,-13.109700
163.424600,163.444500,-49.218200
163.444600,163.447200,38.270900
163.447300,163.456500,-34.539200
163.456600,163.457800,25.414600
163.457900,163.464700,0.327500
163.464800,163.466500,-40.048900
163.466600,163.479500,-21.091000
