lower_bound,upper_bound,correction
1.000000,163.647000,-50.503200
163.647100,163.761700,-47.484700
163.761800,163.811700,38.573700
163.811800,163.965100,-15.225800
163.965200,164.042300,-43.916900
164.042400,164.114800,-39.067000
164.114900,164.146100,-31.158900
164.146200,164.164900,-7.410200
164.165000,164.197700,-34.834600
164.197800,164.244100,-28.764600
164.244200,164.254900,-39.119000
164.255000,164.354800,8.910700
164.354900,164.368000,-35.510600
164.368100,164.402300,-8.760400
164.402400,164.403200,-36.740900
164.403300,164.405600,-30.659300
164.405700,164.425600,-30.667700
164.425700,164.430900,34.403000
164.431000,164.438300,2.774100
164.438400,164.442500,-12.431400
164.442600,164.443600,-48.310600
164.443700,164.443900,-37.364600
164.444000,164.448200,-48.920100
164.448300,164.448600,14.929500
164.448700,164.448900,-40.407000
164.449000,164.451500,41.683100
164.451600,164.460200,-24.601800
164.460300,164.460400,-29.466300
164.460500,164.463700,-37.980300
164.463800,164.466300,47.750600
164.466400,164.468500,89.702000
164.468600,164.471000,81.794900
164.471100,164.473800,-42.848000
164.473900,164.477100,-45.889100
164.477200,164.479200,69.626300
164.479300,164.479400,-20.354800
164.479500,164.485100,14.296100
164.485200,164.488700,45.906700
164.488800,164.496400,33.133600
164.496500,164.498300,48.937700
164.498400,164.501900,69.602900
164.502000,164.502100,-34.955200
164.502200,164.506000,-26.446400
164.506100,164.507300,54.400500
164.507400,164.509400,-35.566000
164.509500,164.509500,-13.074900
164.509600,164.510000,13.670900
164.510100,164.511600,-40.429700
164.511700,164.513000,-45.900900
164.513100,164.513600,14.276300
164.513700,164.517800,-30.706600
164.517900,164.520600,-25.845200
164.520700,164.521400,-44.688000
164.521500,164.521600,-48.335000
164.521700,164.522700,-50.766700
164.522800,164.523900,-34.356100
164.524000,164.525600,-17.945900
164.525700,164.526100,-36.788100
164.526200,164.527200,-45.905600
164.527300,164.528900,-23.417700
164.529000,164.530600,62.887600
164.530700,164.531100,11.225100
164.531200,164.531400,-30.712300
164.531500,164.531400,-42.260300
164.531500,164.536900,-38.007800
164.537000,164.539500,-29.500200
164.539600,164.541300,19.726800
164.541400,164.543000,11.217100
164.543100,164.543200,-48.949600
164.543300,164.546000,-14.309700
164.546100,164.549600,-37.404900
164.549700,164.550600,-37.405300
164.550700,164.551400,-35.582400
164.551500,164.553500,-33.760100
164.553600,164.556400,-38.015200
164.556500,164.557400,-5.808000
164.557500,164.558200,-21.608300
164.558300,164.558700,59.821400
164.558800,164.559500,14.852100
164.559600,164.559700,-8.240000
164.559800,164.560600,-31.332300
164.560700,164.560700,-50.778100
164.560800,164.561900,65.895000
164.562000,164.562200,65.894700
164.562300,164.563000,-29.510300
164.563100,164.564500,-34.372200
164.564600,164.568000,-36.196600
164.568100,164.569300,5.122900
164.569400,164.571800,-2.778000
164.571900,164.572200,-22.830200
164.572300,164.572700,48.870300
164.572800,164.572800,-26.476300
164.572900,164.573800,-40.452200
164.573900,164.574100,-4.602200
164.574200,164.574400,23.956100
164.574500,164.576500,40.360200
164.576600,164.581100,-34.378900
164.581200,164.581600,17.267100
164.581700,164.581600,-49.569100
164.581700,164.581700,-30.125900
164.581800,164.584000,-49.569800
164.584100,164.584000,-38.633200
164.584100,164.584200,50.075200
164.584300,164.584200,36.708100
164.584300,164.585200,-34.380500
164.585300,164.585600,-24.659300
164.585700,164.585800,-33.773100
164.585900,164.586500,55.541300
164.586600,164.587000,-7.040100
164.587100,164.589300,-36.812400
164.589400,164.596500,-9.475600
164.596600,164.596700,-41.675600
164.596800,164.597200,-27.094700
